drug_id,ID,UP,Entrezid
DB07615,DME5Y64,P35367;P08842,3269;412
DB07621,DMTC5VF,P10635,1565
DB07637,DMLIG3X,P19235,2057
DB07641,DMQMR3P,P21397,4128
DB07645,DM3VOPQ,P69905,3039
DB07662,DMN8M5P,P00533;P04626,1956;2064
DB07706,DMM9Z0B,,
DB07711,DM4JQCR,P00813,100
DB07715,DMAEDQG,P68400,1457
DB07718,DM0564K,P00734;P14174,2147;4282
DB07720,DMAGZD8,,
DB07724,DMS56UD,P37231;Q07869;Q03181,5468;5465;5467
DB07726,DMNXI1E,P03452,
DB07734,DMEKSHG,,
DB07767,DMJC7NF,P27338;P00915;P23280;O43570;P00918;P22748;Q9ULX7;Q16790,4129;759;765;771;760;762;23632;768
DB07776,DMEQH6J,P14867;P29275;P11511;P30542;P10275;P0DMS8,2554;136;1588;134;367;140
DB07780,DMSQRXW,P37268,2222
DB07794,DM051PI,P28482,5594
DB07795,DMES906,P49327;Q00534;Q965D5;Q965D7;Q965D6,2194;1021
DB07810,DMYA50U,Q9UHI7;O43315;P51790,9963;366;1182
DB07841,DMJZ0AM,P14324;P49354;P49356;P49356,2224;2339;2342;2342
DB07863,DMUGQIV,P37231;P19793;P37231,5468;6256;5468
DB07876,DM8XH3S,Q13464,6093
DB07884,DMP0ARJ,,
DB07892,DMK846H,,
DB07918,DMJ3ATL,O06913,
DB07919,DMPA5WD,P21397;Q13627;Q92630;O43781,4128;1859;8445;8444
DB07920,DMHTI5X,P39900,4321
DB07922,DMQ84J7,P39900,4321
DB07931,DM9AGWQ,P03372;Q92731,2099;2100
DB07933,DMU1XZD,Q92731,2100
DB07954,DM46F5X,P29275;O76074;P29274;P27815;Q14432;Q08499;P30542;Q07343;P0DMS8;O00408,136;8654;135;5141;5139;5144;134;5142;140;5138
DB07995,DM4RVGO,P17612,5566
DB07996,DMV3KBE,P10644,5573
DB07997,DM80QF9,P29973,1259
DB08012,DM3ISKB,,
DB08040,DMOX8FD,Q07075;P15144,2028;290
DB08052,DMU8KTO,P00533;P16234;P35968;P12931;P42345;P48736;P42338;P78527;P08631;P00519,1956;5156;3791;6714;2475;5294;5291;5591;3055;25
DB08059,DM8EVK5,O00329;P48736,5293;5294
DB08073,DMLMU63,P31749,207
DB08078,DMZP7YM,Q03181,5467
DB08079,DMPQHOR,P08581,4233
DB08132,DMMF57V,P24941,1017
DB08134,DMGRWEU,P24941,1017
DB08162,DMTCNOM,Q13464,6093
DB08167,DMBIRC6,P22303,43
DB08168,DMC8O3Z,P62937,5478
DB08188,DMQH1NV,,
DB08190,DMSEIUP,P48039;P49286;P16083,4543;4544;4835
DB08231,DMYX0BL,P00519;P0DP23;P0DP24;P0DP25;O00206;P62942;P03407;P47205;P23008;Q9Y6Y9;P41235;P35243,25;801;805;808;7099;2280;23643;3172;5957
DB08238,DMYTUNE,P05230,2246
DB08254,DMZ4LJ7,P00734,2147
DB08262,DM8JFNU,P69905,3039
DB08324,DMY2AEF,P00749,5328
DB08327,DMQD0YW,,
DB08329,DM07653,P00918,760
DB08357,DMJBFN0,P22303;P08839,43
DB08388,DMO1IHL,P45452,4322
DB08398,DMNQL17,P03372,2099
DB08399,DMYOP45,Q14653,3661
DB08407,DM9N0RH,P0AAI5,
DB08424,DM9GXYV,Q16539,1432
DB08437,DMDKLB5,,
DB08439,DMIV8CT,P02788,4057
DB08454,DM2BKU8,P12931;P49841;Q9UQB9,6714;2932;6795
DB08466,DM1KO7U,P09960,4048
DB08502,DM9ERH1,,
DB08517,DMUAQYZ,P29275;P30542;P0DMS8,136;134;140
DB08550,DM60Y3Q,P18825;P08913;P18089,152;150;151
DB08568,DMJ83LK,P31749,207
DB08597,DMKYXJW,Q13131;Q9Y478;P54619,5562;5564;5571
DB08598,DM4WJHY,,
DB08604,DMZUR4N,Q965D5,
DB08621,DMDRKH2,,
DB08624,DMV7MPL,P00734,2147
DB08626,DM86LFB,P08473,4311
DB08632,DMNCWXZ,P69905,3039
DB08633,DMT0QK8,P50579,10988
DB08634,DMC958O,,
DB08639,DMJPSIL,,
DB08653,DMAFPHB,P27338;P28223;P21397,4129;3356;4128
DB08658,DMT4XJM,P06276,590
DB08690,DMLUP30,Q02768,4519
DB08756,DMU8ANS,P00734,2147
DB08768,DM2D4KY,P24941,1017
DB08770,DMWQ38G,P29275;P29274;P30542,136;135;134
DB08772,DMWOT92,P15121,231
DB08786,DM9WQOJ,P07900,3320
DB08794,DMR5Z2A,,
DB08799,DMA04JS,P35367,3269
DB08801,DM32YAI,P35367,3269
DB08805,DMO7JGS,P25021,3274
DB08807,DMIFYLX,P13945,155
DB08808,DMUT9IQ,,
DB08810,DMEGFYD,,
DB08811,DMTGNWU,P27815;Q9Y233;O00408,5141;10846;5138
DB08816,DMBR01X,Q9H244,64805
DB08818,DMABXOZ,,
DB08819,DMFC41K,P43088,5737
DB08820,DMZC1HS,P13569,1080
DB08822,DMCF6SX,P30556,185
DB08824,DMNARJT,Q01959,6531
DB08826,DMS2M7O,,
DB08827,DMQTAGO,P55157,4547
DB08828,DM5IXKQ,Q99835,6608
DB08830,DMKYQO4,,
DB08833,DMEL9UT,,
DB08834,DMFKRQE,,
DB08836,DM1A79H,,
DB08837,DM6SFYH,Q96FL8;P22460;O43525;Q86W47;Q6UVM3;Q5JUK3;P22001;P29972;Q92952;Q9UGI6;Q9H2S1;O43526;Q96RP8;P48050;Q9Y5S1;P17658;Q16322;P16389;Q14003;Q92953;Q09470;Q9NR82;P56696;P48547;Q9NSA2;Q14721;Q03721;Q96PR1;Q86VL8,55244;3741;3786;27345;343450;57582;3738;358;3780;3782;3781;3785;3743;3761;51393;3742;3744;3737;3748;9312;3736;56479;9132;3746;3750;3745;3749;3747;146802
DB08838,DMSBZ29,Q9UHC3,9311
DB08839,DMOFCRY,P41595;P28335;P28222;P28221;P08908;Q13639;P46098;P28223;P47898;P50406;P0DMS8;P34969;O95264,3357;3358;3351;3352;3350;3360;3359;3356;3361;3362;140;3363;9177
DB08841,DM4UXT1,Q96RJ0,134864
DB08842,DM4UE3K,,
DB08842,DM74HGJ,,
DB08846,DMX8BS5,P00915;Q14534;P23280;O43570;P00918;P22748;P43405;Q9ULX7;P84022;Q16790;P49841;P0DMV8;P0DMV9;P68400,759;6713;765;771;760;762;6850;23632;4088;768;2932;3303;3304;1457
DB08848,DMELGKY,,
DB08849,DMST89H,P30531,6529
DB08855,DM702WR,Q9Y271;Q9NS75;Q13304,10800;57105;2840
DB08860,DMJH792,,
DB08861,DMIRSNA,P35372;P41143;P41145,4988;4985;4986
DB08864,DMJ0QOW,Q9Y5Y9,6336
DB08865,DM4F29C,P08581;P08922;Q9UM73,4233;6098;238
DB08867,DMBNI20,P06401,5241
DB08868,DM5JVAN,P21453,1901
DB08869,DM9GP85,Q02643,2692
DB08870,DMWLC57,P28908,943
DB08871,DM1DX4Q,,
DB08872,DMJY2TM,Q9Y289,8884
DB08873,DMBSHMF,,
DB08873,DMFWJC2,,
DB08874,DMFP6MV,,
DB08875,DMIYDT4,P35968;P08581,3791;4233
DB08877,DM20KYR,P23458;O60674,3716;3717
DB08877,DM7Q98D,P23458;O60674;Q03405,3716;3717;5329
DB08878,DMQ9RBV,Q9HBH1,64146
DB08879,DM3OBQF,Q9Y275,10673
DB08880,DMQ2FKJ,P04035;Q08210;Q02127,3156;1723
DB08881,DM62UG5,P15056,673
DB08882,DMNM93X,P27487,1803
DB08882,DMWFJTR,P27487,1803
DB08883,DMJDYNQ,P42261;P42262;P42263;P48058,2890;2891;2892;2893
DB08885,DMT3D5I,P15692;P49765;P49763,7422;7423;5228
DB08888,DM7AVGW,P02751,2335
DB08889,DM48K0X,,
DB08890,DM4EGV0,P25092,2984
DB08893,DMS1GYT,P13945,155
DB08895,DMBS370,P52333,3718
DB08896,DMHSY1I,P10721;P35968;P07949,3815;3791;5979
DB08899,DMGL19D,P10275,367
DB08900,DMYOAKS,O95838,9340
DB08901,DMAI95U,,
DB08901,DMYGJQO,P10721;P07949;P36888;P00519,3815;5979;2322;25
DB08902,DM7QG0M,P13423,
DB08903,DM3906J,,
DB08905,DMWIDJK,P11511,1588
DB08906,DML72VJ,P04150,2908
DB08907,DMFRM1I,P31639,6524
DB08908,DM2OVDT,,
DB08909,DMDGRQO,,
DB08910,DMTGBAX,,
DB08911,DM2JGQ3,,
DB08911,DMRTASL,Q02750;P36507,5604;5605
DB08912,DMX6OE3,P15056,673
DB08915,DMTG18I,Q07869,5465
DB08916,DMTKD7Q,P04626;P00533,2064;1956
DB08918,DMV26S8,P31645;P23975,6532;6530
DB08922,DMVHJLX,,
DB08927,DMDAMBW,P28223,3356
DB08930,DMCZGRE,,
DB08931,DMXBLMP,Q02846,3000
DB08932,DMP79A1,P25101;P24530,1909;1910
DB08933,DMT73J8,P10613,
DB08934,DMLSUWZ,,
DB08934,DMQI86A,,
DB08935,DM3BVAE,P11836,931
DB08936,DM3L52Q,,
DB08942,DMMS2J5,,
DB08943,DMMF1HX,P05093,1586
DB08950,DMNSJFD,P18825;P25100;P18089,152;146;151
DB08951,DM5QSKN,P23219;P35354;P25024;P25025;P07148,5742;5743;3577;3579;2168
DB08954,DMXC1K9,Q9UNI1;Q13224,1990;2904
DB08955,DMSO2T9,P09917,240
DB08960,DMN8QAF,Q08210,
DB08971,DMQKXSW,,
DB08980,DMH6NG5,P41595,3357
DB08981,DMXGDFK,P23219;P35354,5742;5743
DB08985,DM67PWD,,
DB08992,DM1SMAI,,
