drug_id,ID,UP,Entrezid
DB11689,DMC7W6R,Q02750;P36507,5604;5605
DB11692,DMZLGQV,P29371,6870
DB11693,DMWIJTN,Q08209,5530
DB11695,DMFYCB4,,
DB11696,DMFOTZ7,,
DB11697,DM1T6ZN,P36888;O60674,2322;3717
DB11698,DMGQ1TV,P31639,6524
DB11699,DMNSJ7V,P46098,3359
DB11700,DMPVRN9,P32245,4160
DB11703,DM3TUBR,Q06187,695
DB11703,DM7GCVW,Q06187,695
DB11710,DM16PWF,,
DB11714,DM4PVDY,Q9NZQ7,29126
DB11720,DM76GZ0,P04201,4142
DB11721,DMIRPSA,P06213,3643
DB11723,DMM5VTA,P27487,1803
DB11725,DMV8ZQG,P35367;P50406,3269;3362
DB11732,DMXLVDT,P30939,3355
DB11738,DM13PQW,P18825,152
DB11739,DMCOJPS,,
DB11740,DM3WDZ5,P30291,7465
DB11742,DMH21D9,,
DB11742,DMQRX24,,
DB11743,DMWBZJD,P31749,207
DB11752,DM1ZOCK,Q02156,5581
DB11753,DMEH3O7,P0A0J0;P47768;P9WGZ1;P9WGY9;P9WGY7;P9WGY5,
DB11755,DMDY1MZ,Q8NET8,162514
DB11757,DM20VSK,P29274,135
DB11758,DM4V8WF,P51681;P41597,1234;729230
DB11759,DMP36KD,Q13564;Q8TBC4;Q15843,8883;9039;4738
DB11760,DM1KS78,,
DB11760,DM2M3OC,,
DB11761,DMCOZJY,P48764,6550
DB11762,DME9QGW,,
DB11763,DMF98Q0,O60674,3717
DB11767,DM8HCFD,P08887;P40189,3570;3572
DB11767,DMOGNXY,P08887;P40189,3570;3572
DB11770,DMRTD16,,
DB11771,DMOQ9H1,P16410,1493
DB11774,DMHXTAQ,P20831;P0A0K8;P0AFI2,
DB11774,DMP3G0W,,
DB11775,DM36PKZ,O96013,10298
DB11778,DMGYBZI,O14965;Q96GD4;Q9UQB9;Q96GD4,6790;9212;6795;9212
DB11779,DM20MDU,,
DB11780,DMSOJ6H,,
DB11781,DMULZ4W,P55786,9520
DB11783,DMR32KN,,
DB11789,DMSIWD0,,
DB11791,DMYCXKL,P08581,4233
DB11794,DMR9PCT,Q13535,545
DB11796,DM50ILT,,
DB11800,DMUKC5L,P35968;P17948;P35916,3791;2321;2324
DB11817,DM4ONW5,P23458;O60674,3716;3717
DB11817,DMPRI14,O14976;Q2M2I8,2580;22848
DB11820,DMSQLZJ,,
DB11823,DMVU687,,
DB11828,DM6QOVN,P04626;P00533;P35968;P04626,2064;1956;3791;2064
DB11830,DM726HX,Q13547,3065
DB11831,DMDTVYC,,
DB11832,DMZIM37,P16234;P12931,5156;6714
DB11836,DMGO7QT,P42345,2475
DB11836,DMYZFNH,P42345,2475
DB11837,DMIJC9X,P15538,1584
DB11841,DMH7W9X,Q13547,3065
DB11845,DM42PFT,P09619;P11362;P16234;P35968;P22607;P21802;P17948;P35916,5159;2260;5156;3791;2261;2263;2321;2324
DB11848,DMZKYNO,P11717,3482
DB11850,DMHTY9W,P11836,931
DB11853,DMK7IWL,P30968,2798
DB11856,DM103O8,,
DB11858,DMIUZX3,Q9Y271;Q9NS75;Q13304,10800;57105;2840
DB11859,DMNLHAC,P14867;Q99928;P47870;P18507;O14764,2554;2567;2561;2566;2563
DB11866,DMFJZN0,Q9BQB4,50964
DB11869,DMXRU9M,P00742,2159
DB11870,DMXA6B3,Q96BI3;Q8WW43;Q9NZ42;Q92542;P49768,51107;83464;55851;23385;5663
DB11886,DMNKBEC,P11362,2260
DB11888,DM4CSDH,P03470,7504
DB11892,DMOK965,P20831;P0A0K8;P0AFI2,
DB11892,DMXL43T,,
DB11898,DMC1NBW,P37231,5468
DB11911,DMP8HW1,P01137;P36897,7040;7046
DB11914,DMQP0X5,P35225,3596
DB11921,DMV0RNS,P04150,2908
DB11936,DM1CI9R,P53396,47
DB11937,DMP4T87,Q12879;Q05586;Q13224,2903;2902;2904
DB11938,DMHZBEO,P41145,4986
DB11942,DMBD4K3,O14980,7514
DB11945,DMSZLJR,Q9NZQ7,29126
DB11948,DMMI84K,P11387,7150
DB11950,DMGJCDR,P27487,1803
DB11952,DM7USVA,O00329;P48736,5293;5294
DB11952,DMWA24P,O00329;P48736,5293;5294
DB11956,DMX4DQH,,
DB11958,DM942HP,P35968,3791
DB11963,DMOH8VY,P04626;P00533;Q15303,2064;1956;2066
DB11967,DM1P6FR,,
DB11976,DM3FPAQ,P48551,3455
DB11978,DMSB068,Q99835;P42345,6608;2475
DB11979,DMB2C0E,P30968,2798
DB11986,DMMPTLH,P04629;Q16288;Q16620;P08922;Q9UM73,4914;4916;4915;6098;238
DB11988,DMEZ2KH,P11836,931
DB11992,DM3PSUF,P27487,1803
DB11994,DMN2Q5I,P01584,3553
DB11998,DMUJGR1,,
DB12007,DM7U58J,,
DB12010,DM6AUHV,P43405,6850
DB12015,DMEXMYK,P42336,5290
DB12016,DMEAOYJ,P21453,1901
DB12018,DM6PMNR,P61073,7852
DB12021,DMCJLD1,P24941;P06493;P50750,1017;983;1025
DB12023,DM7P1J4,P05113;Q01344,3567;3568
DB12025,DMCMDVR,P19838;Q00653;Q04206;Q01201;Q04864,4790;4791;5970;5971;5966
DB12026,DM215XO,,
DB12026,DMAI83D,,
DB12028,DM0D7LA,P9WKE1,
DB12029,DM2Y3P4,O43826,2542
DB12034,DMWX90U,P05067,351
DB12039,DMN0EMP,P23219,5742
DB12052,DMOJQGT,O76074,8654
DB12054,DM0MO8I,P25101,1909
DB12061,DMD275X,P14416,1813
DB12062,DMOFH1M,P53350,5347
DB12064,DMGM7QD,P08581,4233
DB12077,DM6RTVG,Q07011,3604
DB12082,DMBKX3C,Q14432;Q12809,5139;3757
DB12092,DMQ8R4E,P35348,148
DB12095,DMDIYFZ,P17752;Q8IWU9,7166;121278
DB12100,DMPRZX4,P07550,154
DB12107,DMDCFXJ,P00807,
DB12110,DMM1J2D,P41595;P28335;P28221;P28223;P28566;P50406;P34969,3357;3358;3352;3356;3354;3362;3363
DB12111,DMYO8T6,P28335,3358
DB12116,DMCGWBJ,Q14534;P49327;P08253;Q965D5;P08246;Q965D7;Q965D6;P50281,6713;2194;4313;1991;4323
DB12116,DMOJ52P,P40763,6774
DB12116,DMVEQ2P,P21980,7052
DB12126,DM4R6UV,P30411,624
DB12129,DM71HQL,,
DB12129,DME4LA1,P49841,2932
DB12130,DM6IYAT,P08922;Q9UM73,6098;238
DB12130,DMICDLV,P08922;Q9UM73,6098;238
DB12130,DMKM7EW,Q9UM73,238
DB12131,DMVN2E6,,
DB12140,DMBYJ92,Q16539,1432
DB12141,DMTI0ZO,,
DB12141,DMWQ4MZ,P36888;P30530,2322;558
DB12147,DMI782S,,
DB12148,DMJB3E1,P25779,
DB12153,DMI4XBM,,
DB12156,DM72Y01,,
DB12157,DM5PRLA,P01138,4803
DB12159,DMOAD2Y,P24394,3566
DB12161,DMUPFLI,Q05940,6571
DB12163,DMGLP6S,P28223,3356
DB12169,DM6ENSJ,Q14627;P35225,3598;3596
DB12176,DMNVFZA,,
DB12181,DMKNCVM,P11597,1071
DB12183,DMFLCW4,P04626,2064
DB12184,DMGX5Q0,P08908,3350
DB12184,DMO9WU8,,
DB12185,DMCA7FN,P11387,7150
DB12190,DMX7A5V,P0AC13,
DB12191,DMPF9ZM,P10415;Q07817;Q07820,596;598;4170
DB12200,DMNVP8Q,P08581,4233
DB12202,DM52QEZ,P00533,1956
DB12212,DMU86DM,,
DB12216,DME2A8X,,
DB12224,DMF9RB4,,
DB12228,DMFT5D6,Q16602,10203
DB12230,DM4I8O7,P25100,146
DB12232,DM4AC2F,,
DB12235,DMTB63Q,P03372,2099
DB12239,DM06JTL,P43235,1513
DB12240,DMF6Y0L,P40259,974
DB12242,DM1FW0C,O14757,1111
DB12243,DM8ZHP1,P10415,596
DB12245,DMPWGBR,P25779,
DB12247,DM3827C,P11362,2260
DB12250,DMNRYPF,P08069,3480
DB12254,DMNG35S,,
DB12267,DM7W94S,Q9UM73,238
DB12270,DMIL37Z,Q16539,1432
DB12273,DMS9R43,P21728,1812
DB12278,DMUWBIJ,P08912,1133
DB12285,DM4CGH5,P56817,23621
DB12290,DMJIMXH,P28335,3358
DB12291,DM1Z74X,Q13547,3065
DB12305,DMLDQFV,P31645;P23975;Q01959,6532;6530;6531
DB12307,DMHJTR2,P35968;P08581,3791;4233
DB12308,DM38CIV,P14867;P47870;P18507,2554;2561;2566
DB12313,DMSCIKZ,P14416,1813
DB12314,DM1IFGT,Q9HBH1,64146
DB12319,DMC3YUA,Q5XXA6;P33527,55107;4363
DB12319,DMUG9X0,Q96S37,116085
DB12323,DMWA74Y,,
DB12326,DMRGQVZ,P26358,1786
DB12327,DMJ3HQY,P35372;P41143;P41145,4988;4985;4986
DB12328,DMBP5N3,P62136,5499
DB12332,DM9PVX8,,
DB12334,DM50Z4U,,
DB12338,DM4Y1SP,,
DB12339,DMOI9EL,,
DB12340,DMNE56X,P10415;Q07817;Q92843;P24385,596;598;599;595
DB12359,DMPAJ41,P07900,3320
DB12364,DM2C4RF,P00742,2159
DB12371,DM2R86O,P21453,1901
DB12371,DMVCMUJ,,
DB12376,DMSTH01,,
DB12385,DM9WLN4,P11387,7150
DB12395,DMTUHWM,P23975,6530
DB12400,DMQM7IL,P42345;P48736,2475;5294
DB12401,DM24XYQ,,
DB12405,DM8IC5H,,
DB12406,DMVU9X1,,
DB12411,DM0YCPL,P30530,558
DB12412,DMZKGPV,P27487,1803
DB12417,DMJXIC9,P27487,1803
DB12418,DMRA736,P00915;O43570;P00918;Q16790,759;771;760;768
DB12429,DMF3DZX,Q13464;P53778;P06239;P17252;Q16539;P31749;P49841;O14757;Q15759;P28482;P23443;P45983;Q9Y2U5;Q13233;O00141,6093;6300;3932;5578;1432;207;2932;1111;5600;5594;6198;5599;10746;4214;6446
DB12432,DMPMO6G,P45983;P45984;P53779,5599;5601;5602
DB12445,DMOX1CU,P23219;P35354,5742;5743
DB12452,DMBGHPE,P17302;Q9UKL4;Q8N144;O95377;P08034;Q9Y6H8;Q6PEY0;Q8NFK1;P57773;P36382;P48165;Q9NTQ9;P36383;Q969M2;P35212;O75712;P29033;Q96KN9;O95452;Q5T442,2697;57369;125111;2709;2705;2700;375519;349149;81025;2702;2703;127534;10052;84694;2701;2707;2706;219770;10804;57165
DB12455,DMR2J95,,
DB12455,DMU5G01,,
DB12457,DMHOAUG,Q16602,10203
DB12458,DMNTF2O,,
DB12459,DMW9F1G,P11387,7150
DB12463,DML83IW,Q96BI3;Q8WW43;Q9NZ42;Q92542;P49768,51107;83464;55851;23385;5663
DB12465,DMVLMW6,,
DB12466,DM35GBS,,
DB12466,DMBZ27L,P9WGZ1;P9WGY9;P9WGY7;P9WGY5,
DB12474,DM82JP0,,
DB12478,DMNP6QD,P14416;P41595;P18825;P08908;P35462;P21917,1813;3357;152;3350;1814;1815
DB12480,DMBUI2A,P04293,
DB12489,DM5S4LX,P15328,2348
DB12498,DMISH0Z,P51679,1233
DB12499,DMPGR1E,P10275,367
DB12500,DM4ZBK6,O60674,3717
DB12500,DMN1579,O60674,3717
DB12515,DMQXYRG,P11387,7150
DB12518,DM1OFHN,P14416;P06213,1813;3643
DB12523,DM1FDN8,P35367,3269
DB12529,DMR5XT3,,
DB12530,DMI0RHA,P15391,930
DB12539,DMLGZPO,P21980,7052
DB12548,DMMP51W,P30556;P25101,185;1909
DB12554,DMNOBFQ,P08912,1133
DB12555,DM4LKFO,P28223,3356
DB12561,DMAG6BV,Q9H237,64840
DB12565,DM91LGU,,
DB12569,DMBH316,P29275;P29274;P30542;P0DMS8,136;135;134;140
DB12582,DMYEAB1,P27338;P21397,4129;4128
DB12589,DMP3X6Q,P29965,959
DB12598,DM8D6O2,P0DTC2,
DB12598,DMU1XOD,P01375,7124
DB12601,DMYISJK,P48736,5294
DB12604,DM92P0F,,
DB12610,DM26AHR,,
DB12610,DM6XFHS,P02768,213
DB12610,DMQ5AJ6,O75164,9682
DB12612,DMT6AM2,P21453,1901
DB12615,DMKMBES,,
DB12617,DMW6F0S,P20839,3614
DB12622,DM4ZLUH,P11388;Q02880,7153;7155
DB12629,DML8M5T,,
DB12637,DMT6E5N,P06401,5241
DB12645,DMFZBNE,O60674;Q13547,3717;3065
DB12661,DMD59GI,P08908,3350
DB12662,DMD0E8U,P37231;Q07869,5468;5465
DB12665,DMX9V8K,P12821;P15121,1636;231
DB12667,DMX0EZJ,P9WGR1,
DB12668,DMSZFTP,P35372;P41143,4988;4985
DB12670,DMSZPR3,P30542,134
DB12686,DM2Y4FG,P11802;P24941;P06493,1019;1017;983
DB12688,DMN63DZ,P20273,933
DB12693,DM0X36Y,P41595;P28335;P28223;Q00975,3357;3358;3356;774
DB12695,DMOMN31,,
DB12703,DMM7ZXR,P48736,5294
DB12710,DM2AOTZ,P14416,1813
DB12711,DMXEQ0R,,
DB12712,DMZ65K8,,
DB12730,DM0QDC9,,
DB12730,DMDUV1S,Q13885,7280
DB12731,DMCU74R,P43490,10135
DB12742,DMELUAK,P16234;P10721,5156;3815
DB12745,DMRBVHE,Q9Y243,10000
DB12750,DM01SR6,P29474,4846
DB12751,DMU3O5H,Q9P0L9,9033
DB12754,DM3FZ6P,P00915;P00918,759;760
DB12764,DMCKPG4,Q9NRA0,56848
DB12766,DMGTZLW,,
DB12773,DM1BS03,P48551,3455
DB12774,DM7L8SG,P42345,2475
DB12783,DMLU8NX,P20711,1644
DB12789,DM4XAU7,P43088;P43116;P21731;Q13258;Q9Y5Y4;P34995;P43115;P35408,5737;5732;6915;5729;11251;5731;5733;5734
DB12802,DMTQ1Y3,P08069,3480
DB12808,DMOL793,P13631,5916
DB12825,DME6G97,,
DB12831,DMU9D2F,,
DB12833,DMPHWU6,,
DB12834,DMJ18YL,,
DB12838,DMDPFTB,P18825,152
DB12843,DM05WIU,P05023;P50993;P13637;P05026;P14415;P54709,476;477;478;481;482;483
DB12847,DM4LNBQ,Q13547,3065
DB12848,DMU2A6D,P08581,4233
DB12855,DM1K78U,,
DB12863,DM6BZCV,Q9UNI1;P08246,1990;1991
DB12864,DMGUZ0W,,
DB12865,DMHP9BL,P41180,846
DB12868,DMXPLMN,P11387,7150
DB12869,DMIOGZM,Q05586;Q13224,2902;2904
DB12870,DMJ46CB,Q9UB86,
DB12874,DM8Y4JS,P36888,2322
DB12877,DM1F42Z,P35367,3269
DB12879,DMH9RTV,P04406,2597
DB12881,DMIGFOR,P25963,4792
DB12884,DMTY5VE,P25021,3274
DB12887,DMWP1BH,Q15910,2146
DB12890,DMACPQO,P21728,1812
DB12902,DMHB2C3,,
DB12904,DMVIMQX,P48736,5294
DB12917,DMR9TF1,Q16552;Q96PD4,3605;112744
DB12923,DMXBR27,P12821;P08473;P16615,1636;4311;488
DB12924,DM6KZMG,P20831;P0A0K8;Q6G9K4;P20831,
DB12930,DMPUOXF,,
DB12939,DMMOA2X,P30573,
DB12941,DMV7YFT,P10275,367
DB12944,DMUKMC8,,
DB12945,DMZIXU9,,
DB12946,DM26UKN,P29275;P29274;P30542;P0DMS8,136;135;134;140
DB12946,DM67XSL,P21589,4907
DB12961,DME26RS,Q15722;Q9NPC1,1241;56413
DB12966,DM79XGM,P00533,1956
DB12967,DM9GOT6,P17707,262
DB12969,DMG7XOC,P05067,351
DB12975,DMUWAM2,,
DB12978,DMS2J0Z,P10721;P36888;P07333,3815;2322;1436
DB12980,DMTV4L7,P43490,10135
DB12985,DMKIE9C,,
DB13005,DMJKFNU,P00519;Q02763,25;7010
DB13005,DMK3TMD,,
DB13025,DMN6CAG,P14416;Q9Y5Y9,1813;6336
DB13026,DM6QHDJ,,
DB13036,DMB8UQ3,P21731;Q9Y5Y4,6915;11251
DB13044,DMJWE3I,P10415,596
DB13050,DMZNIAG,,
DB13061,DMUANF3,O14965,6790
DB13064,DM3ML0N,P18825;P08913;P18089,152;150;151
DB13066,DM4OYXE,P11511;O43174,1588;1592
DB13070,DMNAECP,P21554,1268
DB13074,DMQYJIR,Q92847,2693
DB13083,DMP2DNS,P21452;O43174,6865;1592
DB13089,DMFMRN8,P18031,5770
DB13092,DMSFQ8I,,
DB13113,DMDIPW8,P08581,4233
DB13125,DMH6IKO,P40238,4352
DB13127,DM4Z9QI,P05231,3569
DB13127,DMT13UA,P05231,3569
DB13132,DMOY7W3,Q08210,
DB13139,DM5YBO1,P07550,154
DB13140,DMTZC5G,,
DB13155,DMANEC9,,
DB13161,DMRSX53,Q16637,6606
DB13170,DMKEX7O,P25092,2984
DB13171,DM5KU8S,Q8TDV5,139760
DB13173,DM0HAC8,O14773,1200
DB13174,DMS6IJ0,P07900,3320
DB13179,DMUZNIG,,
DB13182,DMRFTJX,P03372;P15121;Q92731;P11474;Q9UL62;P62508;O95718,2099;231;2100;2101;7224;2104;2103
DB13203,DMXLHYN,,
DB13211,DMLYXBF,,
DB13212,DMCTUAD,,
DB13219,DM0UGYX,,
DB13228,DMY89KQ,,
DB13243,DM5JWV9,P20839,3614
DB13244,DMYNASR,P46059,6564
DB13245,DMNXDGQ,O60674,3717
DB13247,DM2FHG3,P08912,1133
DB13251,DMLQVTJ,P00742,2159
DB13256,DM6K1OA,,
DB13262,DMOLNCZ,P11229;P08173;P20309;P08172;P08912,1128;1132;1131;1129;1133
DB13270,DMTX0PZ,,
DB13275,DMLPXNC,,
DB13285,DMR9YL6,,
DB13312,DM7EUK3,P12821,1636
DB13318,DMCZQGK,P78559;P46821,4130;4131
DB13326,DMYZJ5B,,
DB13329,DMGYMW4,,
DB13343,DMDRSNH,P00918,760
DB13345,DM5SQ1G,P18825,152
DB13358,DMBG0N4,,
DB13374,DMK1ZOR,,
DB13391,DMV3P89,,
DB13393,DMCT2YF,,
DB13399,DMZNFPG,,
DB13403,DMYKG8R,,
DB13406,DMH6B9J,,
DB13409,DMCZWOK,,
DB13421,DMC7DYX,P04183,7083
DB13431,DM4MF9V,P32238,886
DB13437,DMNKSX3,,
DB13470,DMORSGU,,
DB13472,DMT5RMB,P03372,2099
DB13478,DMPSB8F,P06276,590
DB13481,DMHQRYE,P09917,240
DB13488,DM7H3VY,,
DB13495,DMN4ZKC,P00915;P00918;P22303;P21554,759;760;43;1268
DB13499,DMQXLF3,,
DB13500,DMU1JVW,,
DB13502,DMODHQI,P27338,4129
DB13505,DMCOAVT,P08912,1133
DB13508,DMH7GKB,,
DB13510,DMG1OPF,,
DB13511,DMTLOU6,P14416;P22303,1813;43
DB13520,DMJFP6G,P41595;P28335;P28222;P28221;P28223;P28566;P30939;P47898,3357;3358;3351;3352;3356;3354;3355;3361
DB13530,DMUDWP9,P13945,155
DB13550,DMU73F0,P21397,4128
DB13552,DMPK34E,P23946,1215
DB13555,DMIVMR3,,
DB13571,DMA13KG,,
DB13573,DMVTSM8,,
DB13588,DMVMQ1L,,
DB13592,DM96RD5,,
DB13596,DMIVDFW,Q08210,
DB13602,DMK4S8I,,
DB13608,DMJL10P,O00767,6319
DB13609,DMOQK8Z,P03452,
DB13616,DM4W8RE,P00742;P00747;P00734;P07477,2159;5340;2147;5644
DB13618,DM0IO13,,
DB13620,DMEY1AP,,
DB13624,DMN8HRU,,
DB13634,DMQY873,,
DB13648,DM2U4XQ,P36544,1139
DB13660,DMWDHUZ,,
DB13667,DMKBTFG,P0AC13,
DB13673,DM79E2K,,
DB13682,DMJKWPZ,,
DB13697,DMAVC9T,,
DB13715,DMOD5Y0,Q99808,2030
DB13716,DMEDGKO,O75762,8989
DB13722,DMMOFHT,,
DB13725,DM4MZXE,,
DB13729,DMQ7UL8,,
DB13751,DM8M2N3,P28845,3290
DB13754,DMX4IS3,,
DB13757,DML1Y49,P13945,155
DB13766,DMV23GL,Q9NY46;Q99808,6328;2030
DB13767,DM32N5G,P11511,1588
DB13775,DM2L3D5,P08908,3350
DB13777,DMV8YHQ,P13945,155
DB13781,DMOVJP3,P13945,155
DB13781,DMXWD08,,
DB13782,DMZKABS,,
DB13783,DML6CN4,,
DB13787,DMJW0VS,,
DB13791,DMG1DTE,O43497,8913
DB13793,DMO4GBK,P20309,1131
DB13806,DM0ZOGX,O43525,3786
DB13810,DM2Q3CL,Q99720,10280
DB13835,DMV7WSN,,
DB13836,DMQW5MH,,
DB13851,DMQLX7O,,
DB13853,DMZ43OM,P21980,7052
DB13854,DMQN30Z,,
DB13857,DMV5KTJ,,
DB13867,DMGCSVF,P04150,2908
DB13868,DMM278X,,
DB13873,DMGO2MC,P07148,2168
DB13874,DM8QXOC,,
DB13874,DMS0ZBI,O75874;P48735;P50213;O43837;P51553,3417;3418;3419;3420;3421
DB13876,DMTEQ0G,P21397,4128
DB13877,DMM0VO3,,
DB13878,DM27BL1,,
DB13879,DM31YVO,,
DB13879,DMSVBND,,
DB13881,DMM9BJD,P11836;P15391,931;930
DB13896,DMKBW5C,P04141,1437
DB13915,DMYHN59,P15391,930
DB13919,DMRK8OT,P30556,185
DB13923,DM0AQ83,P00740;P00742,2158;2159
DB13926,DM8Y2RU,P08138,4804
DB13928,DMAGFOD,P43220,2740
DB13929,DM3AWPB,P37288,552
DB13931,DM0LPI9,P23975;Q13464,6530;6093
DB13941,DMT70RC,,
DB13943,DMC1TEV,,
DB13944,DMB6871,,
DB13946,DMZO10Y,,
DB13950,DMACBIW,P21554;P34972,1268;1269
DB13952,DM07U2A,P03372,2099
DB13954,DM27Z5T,P03372,2099
DB13956,DM8MC6O,P03372,2099
DB13963,DMY40UB,,
DB13978,DMLDBQ5,Q96EB6,23411
DB13981,DMRJ7D1,P03372,2099
DB13988,DM8WTGA,P34969,3363
DB13997,DM1UV7F,P03433,26258
DB13997,DMRJ9EN,,
DB14006,DM8P137,,
DB14010,DMG0EL7,P41595;P28335;P28223;P50406,3357;3358;3356;3362
DB14011,DMHKJ5I,,
DB14012,DMKUOQV,Q9GZV9,8074
DB14020,DM50QMB,P23141,1066
DB14025,DM6F8L5,P20831;P0A0K8,
DB14027,DMPYET9,P43220,2740
DB14028,DMHAWYQ,,
DB14034,DM6IGRL,P37231,5468
DB14039,DMWMCN0,Q16602,10203
DB14040,DM5LJCI,,
DB14041,DMDZY54,Q16602,10203
DB14042,DMIZ1E8,Q16602,10203
DB14043,DMB1CZ8,Q8TDV5;Q9Y2T6;P34972,139760;9290;1269
DB14049,DMVFB93,P00915;P00918,759;760
DB14054,DMT8Y65,P11217,5837
DB14060,DMINUWH,P35354,5743
DB14063,DM9P4JW,,
DB14064,DMW210B,,
DB14065,DME0TC8,Q14524;Q00975,6331;774
DB14066,DMAOJBX,,
DB14068,DMLZIT2,P21439,5244
DB14071,DM2I76R,,
DB14083,DMCK5DG,P37231,5468
DB14086,DMY38SB,P23219;P00915;P23280;O43570;P00918;P22748;Q9ULX7;Q16790,5742;759;765;771;760;762;23632;768
DB14104,DMDGPY9,P15090,2167
DB14123,DMG2KW7,O75762;Q7Z2W7,8989;79054
DB14126,DM1IS6U,,
DB14128,DM9LRKB,P04035;P9WGR1;P00390;P53004;O43451;P12268;Q965D5;P10253;Q14697;Q8TET4;P05091;P14061;P0A752;P23526;Q24803;P49366;P90597;P24232;Q14376;P00338;P07195;P07864;P51659;Q9HX21;P07639;P18843;P44308;Q00796,3156;2936;644;8972;3615;2548;23193;2595;217;3292;191;125;1725;2582;3939;3945;3948;3295;6652
DB14132,DMX2YH7,,
DB14144,DMYC1T6,Q9ULX7,23632
DB14183,DMS3CBD,Q7Z2W7,79054
DB14184,DMZDUXG,O75762;Q8NET8,8989;162514
DB14187,DMFHCV9,Q7Z2W7,79054
DB14189,DMBULX4,P0AC13,
DB14212,DMO58UW,O75762,8989
DB14475,DMO1Z5Q,Q9BXC0,27198
DB14481,DMJ3CFY,,
DB14502,DM1G4S9,P22748,762
DB14523,DMUXQG7,,
DB14546,DMW0ZBF,P00915,759
DB14547,DM1TJXA,P10613,
DB14568,DM8S6T7,O75874,3417
DB14568,DMRVITQ,,
DB14569,DMG2SKR,,
DB14570,DMIKQH5,,
DB14575,DMZREFQ,Q9UI33,11280
DB14596,DM8QTJI,P11474;O95718;P62508,2101;2103;2104
DB14597,DMEH7YU,P03952,3818
DB14642,DM154EB,,
DB14681,DMU5QZX,,
DB14707,DMKMJHE,Q15116,5133
DB14719,DMRVBWU,Q99928,2567
DB14723,DM26CQR,P04629;Q16288;Q16620,4914;4916;4915
DB14724,DMVSIN2,P01579,3458
DB14724,DMZG5WL,P01579,3458
DB14726,DMDI6R4,P00734,2147
DB14731,DM9HQ5U,P26951,3563
DB14733,DMWLF2X,,
DB14737,DMM6A7P,P21554;Q9Y5S1,1268;51393
DB14761,DM49IGE,,
DB14761,DMBFZ6L,,
DB14763,DMC520D,Q9HBH1,64146
DB14776,DMVAP4T,Q15116,5133
DB14815,DM46FVD,,
DB14840,DM958QB,P16234;P10721,5156;3815
DB14864,DMW8QNG,P15692;P15692;P49765;P49767;O43915,7422;7422;7423;7424;2277
DB14881,DM6MDCF,,
DB14892,DM4TOEQ,Q15116,5133
DB14895,DMCWNZG,,
DB14895,DMFR201,P13945,155
DB14904,DMH1DYU,,
DB14921,DMK9BP2,,
DB14922,DMGVUO5,Q15116,5133
DB14933,DMJBYSE,,
DB14939,DMW34B1,P61073,7852
DB14967,DMKEY6S,P04626,2064
DB14975,DMCS6M5,P69905,3039
DB14980,DMVP4E5,P42338,5291
DB14989,DMYRBO1,O00329;P49674,5293;1454
DB14996,DMY7WH1,P09871,716
DB15026,DMTF7JA,P37231,5468
DB15035,DMJWRQP,Q06187,695
DB15035,DMUR5NG,,
DB15059,DMEJICQ,,
DB15067,DM1YEPS,P02656,345
DB15090,DM9R5J6,Q969D9,85480
DB15091,DM32B5U,P23458,3716
DB15091,DM8T2OI,,
DB15102,DM819JF,P11362;P22607;P21802,2260;2261;2263
DB15133,DMUQ0E8,P08581,4233
DB15171,DMQNMAT,P43220,2740
DB15226,DM74SVE,P47871,2642
DB15233,DMK2GZX,P16234,5156
DB15248,DMJUVE6,Q14973,6554
DB15250,DM6L5ZQ,P51686,10803
DB15254,DM3U9BY,P10398;P15056;P04049,369;673;5894
DB15271,DMAHOVJ,P16109,6403
DB15293,DM5OGK0,P15121,231
DB15303,DM83SEB,P15692;O15123,7422;285
DB15323,DM9L1AC,P27487,1803
DB15328,DM749I3,Q16602,10203
DB15334,DM0HPWY,P11511;P49327;P11474;Q965D7;P62508;O95718,1588;2194;2101;2104;2103
DB15335,DM7WFZ8,P31639,6524
DB15354,DMBLX7U,Q9Y5C1,27329
DB15399,DMPK32V,P31749,207
DB15434,DM15ZIB,P11836,931
DB15442,DMP5A4T,P11802;Q00534,1019;1021
DB15456,DM7MDBE,Q02846,3000
DB15489,DME1X96,,
DB15492,DM4FW3H,P14416,1813
DB15493,DMW46GY,Q96EB6,23411
DB15495,DME9VTX,P19838;Q00653;Q04206;Q01201;Q04864,4790;4791;5970;5971;5966
DB15569,DMLSV74,P01116,3845
DB15581,DM7V2LG,P15121;P11511;Q00534;Q965D6;Q16678,231;1588;1021;1545
DB15584,DMCQP0B,P40763,6774
DB15584,DMR8YD6,Q8NF37;Q7L5N7;P11387;Q47746,79888;54947;7150
DB15586,DM0RV9C,,
DB15588,DM4SOAW,P04293;P18031;P04054;P28845;P11217,5770;5319;3290;5837
DB15627,DM78NWP,Q15116,5133
DB15628,DMUS1F8,P01589,3559
DB15635,DMTIESG,Q5ZPR3,80381
DB15650,DMKA2PI,P43220,2740
DB15685,DMZR15V,P07949,5979
DB15719,DMBT3AI,Q02223,608
DB15765,DMGWR0C,Q15116,5133
DB15770,DMULBZM,Q9NZQ7,29126
DB15822,DMWU0I2,P07949,5979
DB15935,DMEBQAO,Q9UJM8,54363
DB15982,DMWA2DZ,P03952,3818
DB16098,DMZGKXW,P80511,6283
DB16099,DMPW5UF,P10253,2548
DB16165,DMM4FJ3,P08235,4306
