"Genes","cluster","logFC_4","P.Value_4","logFC_8","P.Value_8","logFC_12","P.Value_12","logFC_16","P.Value_16","significant_timepoints","direction_type","Host factor type","logFC_mean_sig","logFC_abs_max_sig","logFC_max_with_sign_sig","pattern"
"HIST1H1C",2,-0.158946716,0.233816994,0.246884838,0.07036095,0.183947552,0.07799436,1.389661824,1.65e-07,"16h","all_up","HRF",1.389661824,1.389661824,1.389661824,"16h_all_up"
"HIST1H1D",6,0.00482717,0.975608345,-0.212605391,0.075078808,0.019762891,0.866787361,0.654605526,0.007084607,"16h","all_up","0",0.654605526,0.654605526,0.654605526,"16h_all_up"
"HIST1H2AC",5,0.094238306,0.189886948,0.115524998,0.165952444,-0.099976997,0.144149796,1.299155789,2.1e-11,"16h","all_up","0",1.299155789,1.299155789,1.299155789,"16h_all_up"
"HLTF",4,0.110257526,0.158792737,-0.19667515,0.016514081,-0.354128088,0.000508067,-0.605371118,1.31e-06,"16h","all_down","0",-0.605371118,0.605371118,-0.605371118,"16h_all_down"
"HMMR",5,0.005837412,0.939799416,0.091897022,0.278804495,-0.019549244,0.803753757,0.727881318,1.09e-06,"16h","all_up","0",0.727881318,0.727881318,0.727881318,"16h_all_up"
"HOXB1",5,-0.031109636,0.267188538,0.040099559,0.216276954,0.118710676,0.002439832,0.798391962,7.74e-10,"16h","all_up","0",0.798391962,0.798391962,0.798391962,"16h_all_up"
"HOXB2",2,-0.014707768,0.920459543,-0.000999088,0.995646893,0.120882198,0.415273663,0.829629466,1.33e-05,"16h","all_up","0",0.829629466,0.829629466,0.829629466,"16h_all_up"
"HOXD3",2,-0.091486788,0.402436115,0.271850952,0.022539405,0.213873394,0.026979165,1.051842952,2.2e-07,"16h","all_up","0",1.051842952,1.051842952,1.051842952,"16h_all_up"
"HRK",5,-0.17733422,0.216103496,0.326174976,0.023722435,0.042316078,0.72697088,1.212483562,2.42e-08,"16h","all_up","HDF",1.212483562,1.212483562,1.212483562,"16h_all_up"
"HSDL1",4,0.155755872,0.236818236,-0.059031508,0.564999525,-0.052842519,0.530767423,-0.630451405,1.57e-06,"16h","all_down","0",-0.630451405,0.630451405,-0.630451405,"16h_all_down"
"HSP90B1",5,0.002532014,0.965764266,-0.02346431,0.688978816,0.377467238,0.00067536,0.943726828,1.15e-09,"16h","all_up","0",0.943726828,0.943726828,0.943726828,"16h_all_up"
"HSP90B3P",5,0.173140398,0.071043367,0.005516908,0.952774599,0.580685988,6.46e-05,1.242783252,1.33e-07,"12h,16h","all_up","0",0.91173462,1.242783252,1.242783252,"12h,16h_all_up"
"HSPA1L",3,-0.1299191,0.626044049,-0.662602224,0.007941473,-0.100362638,0.544569518,-0.087086918,0.535928063,"8h","all_down","0",-0.662602224,0.662602224,-0.662602224,"8h_all_down"
"HSPA5",5,-0.093554352,0.612957852,0.616349999,0.004881331,0.976890865,0.000128266,1.954034998,9.94e-12,"8h,12h,16h","all_up","HDF",1.182425287,1.954034998,1.954034998,"8h,12h,16h_all_up"
"HSPB3",5,-0.022739115,0.484066804,0.033159667,0.444637175,0.053829523,0.185427559,0.795467119,2.99e-09,"16h","all_up","0",0.795467119,0.795467119,0.795467119,"16h_all_up"
"HYLS1",5,0.11079809,0.240693764,-0.00806229,0.91168409,0.154049564,0.070530936,0.762905526,9.16e-07,"16h","all_up","0",0.762905526,0.762905526,0.762905526,"16h_all_up"
"ID1",6,-0.005168724,0.948856858,0.106136318,0.203057192,0.306410248,0.003174657,0.725510928,9.33e-08,"16h","all_up","0",0.725510928,0.725510928,0.725510928,"16h_all_up"
"IDH1",4,0.063435268,0.551110181,-0.215136474,0.043273446,-0.116905264,0.206875229,-0.760147528,1.09e-06,"16h","all_down","HDF",-0.760147528,0.760147528,-0.760147528,"16h_all_down"
"IDI2-AS1",5,0.006371595,0.949465821,0.43782541,0.002672553,0.389640569,0.007330014,1.846163882,1.43e-11,"16h","all_up","0",1.846163882,1.846163882,1.846163882,"16h_all_up"
"IER5",2,0.015178308,0.880870484,0.128549402,0.381984824,0.113501138,0.361634424,0.65794757,5.59e-05,"16h","all_up","0",0.65794757,0.65794757,0.65794757,"16h_all_up"
"IFI27",5,-0.065848993,0.656615628,0.480372705,0.002112994,0.198504232,0.246555472,0.93401042,8.13e-09,"16h","all_up","0",0.93401042,0.93401042,0.93401042,"16h_all_up"
"IFIT1",2,-0.023278957,0.798806627,0.178980328,0.109886509,-0.131934953,0.2037807,-0.645526215,1.68e-06,"16h","all_down","HRF",-0.645526215,0.645526215,-0.645526215,"16h_all_down"
"IFRD1",5,0.15024345,0.179051669,-0.033561956,0.710496506,0.221939058,0.024936658,0.79298849,3.03e-08,"16h","all_up","0",0.79298849,0.79298849,0.79298849,"16h_all_up"
"IGFBP5",3,-0.174062302,0.0928058,-0.031750574,0.691811831,-0.078648376,0.378065518,-0.646076847,8.03e-07,"16h","all_down","0",-0.646076847,0.646076847,-0.646076847,"16h_all_down"
"IGFLR1",1,-0.19905739,0.083434693,0.117990007,0.216205352,-0.144165088,0.102483922,-0.603623781,7.1e-06,"16h","all_down","0",-0.603623781,0.603623781,-0.603623781,"16h_all_down"
"IL13",5,0.067215843,0.164557934,-0.009206217,0.867747219,0.098025013,0.055715665,0.666749497,1.07e-10,"16h","all_up","0",0.666749497,0.666749497,0.666749497,"16h_all_up"
"INHBC",3,-0.287385577,0.011035907,-0.41280947,0.000629389,-0.580966053,0.000343261,-0.401427372,0.019342447,"12h","all_down","0",-0.580966053,0.580966053,-0.580966053,"12h_all_down"
"IQCC",4,-0.02947033,0.712034942,0.060497998,0.553497064,-0.027976963,0.748682918,-0.609695861,7.56e-05,"16h","all_down","0",-0.609695861,0.609695861,-0.609695861,"16h_all_down"
"ISG15",2,-0.14762728,0.185493838,0.277477542,0.010726282,0.362539274,0.000890444,1.113563558,4.86e-10,"16h","all_up","HRF",1.113563558,1.113563558,1.113563558,"16h_all_up"
"ISG20",5,-0.066062335,0.650783431,0.430596362,0.003171965,0.069156453,0.564993741,0.858783208,3.35e-06,"16h","all_up","0",0.858783208,0.858783208,0.858783208,"16h_all_up"
"ITGA10",5,-0.091258748,0.492580812,0.49975552,0.000401905,0.159602477,0.140082166,0.824163151,5.58e-08,"16h","all_up","0",0.824163151,0.824163151,0.824163151,"16h_all_up"
"ITIH4",2,-0.061696779,0.629556361,0.44390915,0.000531026,0.223976213,0.024419184,0.766148616,4.57e-07,"16h","all_up","0",0.766148616,0.766148616,0.766148616,"16h_all_up"
"JUND",6,-0.055861851,0.658841334,-0.256547058,0.090970103,0.213968199,0.270881913,0.932083301,6.42e-08,"16h","all_up","0",0.932083301,0.932083301,0.932083301,"16h_all_up"
"KCNJ12",1,-0.17329497,0.245559734,0.284017068,0.010158141,-0.14600009,0.236692493,-0.645819502,5.42e-05,"16h","all_down","HDF",-0.645819502,0.645819502,-0.645819502,"16h_all_down"
"KCNJ14",5,0.039782339,0.66653977,0.23619507,0.013663344,0.432331446,0.001239599,1.386536715,5.53e-11,"16h","all_up","0",1.386536715,1.386536715,1.386536715,"16h_all_up"
"KCTD12",4,0.039796242,0.641442757,-0.148478562,0.213205724,-0.190182534,0.151019536,-0.849398066,1.93e-05,"16h","all_down","0",-0.849398066,0.849398066,-0.849398066,"16h_all_down"
"KIAA0101",4,0.056975308,0.50708773,-0.138571676,0.103958048,-0.20960898,0.030272561,-0.653778274,6.96e-06,"16h","all_down","0",-0.653778274,0.653778274,-0.653778274,"16h_all_down"
"KIAA1683",5,-0.009219548,0.903060504,-0.109793338,0.106120204,-0.004995361,0.938091675,1.118432003,6.16e-11,"16h","all_up","0",1.118432003,1.118432003,1.118432003,"16h_all_up"
"KIF25",2,-0.106606466,0.350017447,0.214515986,0.028361452,0.181582501,0.099354965,0.753101707,7.34e-06,"16h","all_up","HDF",0.753101707,0.753101707,0.753101707,"16h_all_up"
"KISS1R",2,0.0208274,0.6686293,-0.054808144,0.43837296,0.011553466,0.820122913,0.651173126,1.16e-07,"16h","all_up","0",0.651173126,0.651173126,0.651173126,"16h_all_up"
"KIT",4,0.025426223,0.793034142,-0.09038765,0.269483479,-0.16235567,0.083187754,-0.836594777,2.72e-05,"16h","all_down","HDF",-0.836594777,0.836594777,-0.836594777,"16h_all_down"
"KLF6",5,-0.086840128,0.459934,0.161450142,0.065855145,0.136505872,0.199225618,0.747865946,5.27e-07,"16h","all_up","0",0.747865946,0.747865946,0.747865946,"16h_all_up"
"KLHL9",4,-0.036241952,0.671254622,0.07933582,0.491269514,-0.333934552,0.003195506,-0.678493672,1.99e-05,"16h","all_down","HRF",-0.678493672,0.678493672,-0.678493672,"16h_all_down"
"KPNA4",6,0.002971034,0.977441262,-0.191777958,0.335476367,0.10667958,0.49604535,0.865639664,0.000514115,"16h","all_up","0",0.865639664,0.865639664,0.865639664,"16h_all_up"
"KRTAP10-8",2,-0.246144343,0.041314864,-0.353396919,0.001412512,-0.102100512,0.35429125,0.64556745,1.35e-06,"16h","all_up","0",0.64556745,0.64556745,0.64556745,"16h_all_up"
"L3MBTL3",4,0.083839534,0.223782936,-0.022474866,0.753532631,0.038986818,0.658079268,-0.713243989,6.15e-08,"16h","all_down","0",-0.713243989,0.713243989,-0.713243989,"16h_all_down"
"LAMB2P1",5,-0.145245821,0.306623272,0.190358668,0.10213787,0.127265529,0.199584784,1.380782716,4.09e-10,"16h","all_up","0",1.380782716,1.380782716,1.380782716,"16h_all_up"
"LEFTY1",5,-0.07402071,0.095407056,-0.022038693,0.57674557,0.128395946,0.018085575,0.713338066,1.16e-09,"16h","all_up","HDF",0.713338066,0.713338066,0.713338066,"16h_all_up"
"LEPREL4",4,-0.153838142,0.168556661,0.339019832,0.032173807,-0.129512918,0.293384006,-0.602407164,2.56e-06,"16h","all_down","0",-0.602407164,0.602407164,-0.602407164,"16h_all_down"
"LGALS9C",5,-0.079012588,0.474149049,0.244562933,0.012094071,0.210429259,0.101269747,0.91394084,1.81e-09,"16h","all_up","0",0.91394084,0.91394084,0.91394084,"16h_all_up"
"LINC00087",1,-0.180712982,0.169173255,0.05739213,0.62348255,-0.180879814,0.082099093,-0.813121598,1.3e-06,"16h","all_down","0",-0.813121598,0.813121598,-0.813121598,"16h_all_down"
"LOC100128670",5,0.07617705,0.051133456,0.103088299,0.052255964,0.043993658,0.344757515,0.602883495,1.51e-08,"16h","all_up","0",0.602883495,0.602883495,0.602883495,"16h_all_up"
"LOC100129387",5,0.123713732,0.294331892,0.355881851,0.000498873,0.241011574,0.036034301,0.87402976,1.48e-06,"16h","all_up","0",0.87402976,0.87402976,0.87402976,"16h_all_up"
"LOC100129974",4,-0.179909425,0.156413631,-0.604157463,9.03e-05,-0.546323087,0.000503868,-0.880471946,1.37e-06,"8h,16h","all_down","0",-0.742314705,0.880471946,-0.880471946,"8h,16h_all_down"
"LOC100130232",5,0.035646539,0.395009862,0.255802956,0.002222605,0.188976817,0.004180342,1.524478121,5.98e-14,"16h","all_up","0",1.524478121,1.524478121,1.524478121,"16h_all_up"
"LOC100130691",5,-0.029763281,0.707928905,0.304762334,0.00464436,0.191599887,0.055612134,0.936812853,2.49e-08,"16h","all_up","0",0.936812853,0.936812853,0.936812853,"16h_all_up"
"LOC100190939",5,-0.026100668,0.828575322,0.38153894,0.001830007,0.296095099,0.001432583,0.654925363,2.6e-07,"16h","all_up","0",0.654925363,0.654925363,0.654925363,"16h_all_up"
"LOC100289580",2,-0.043658107,0.530153202,-0.109638082,0.158642737,0.106018673,0.337692956,0.606894995,2.82e-08,"16h","all_up","0",0.606894995,0.606894995,0.606894995,"16h_all_up"
"LOC100507205",5,-0.152472965,0.156271886,0.184134594,0.045475314,0.324186307,0.013836423,1.560630707,3.6e-07,"16h","all_up","0",1.560630707,1.560630707,1.560630707,"16h_all_up"
"LOC100652922",5,0.029923243,0.475342694,0.011872424,0.759862239,0.094387835,0.01079805,0.829654126,4.9e-10,"16h","all_up","0",0.829654126,0.829654126,0.829654126,"16h_all_up"
"LOC145694",5,0.035628701,0.695426315,0.332762541,0.004462921,0.091745898,0.255669948,0.600549851,1.61e-05,"16h","all_up","0",0.600549851,0.600549851,0.600549851,"16h_all_up"
"LOC151657",5,0.033318658,0.73200939,0.265026432,0.007708049,0.167535627,0.034537731,1.031395793,2.87e-08,"16h","all_up","0",1.031395793,1.031395793,1.031395793,"16h_all_up"
"LOC153546",5,-0.104072548,0.489143557,0.34764315,0.013754163,-0.060508042,0.619773133,1.027272849,4.51e-07,"16h","all_up","0",1.027272849,1.027272849,1.027272849,"16h_all_up"
"LOC202181",5,0.043678975,0.694461531,0.146602239,0.082570491,0.698287573,1.2e-05,1.346193806,7.33e-10,"12h,16h","all_up","0",1.02224069,1.346193806,1.346193806,"12h,16h_all_up"
"LOC221442",5,0.088157097,0.191433622,0.196553927,0.029731518,0.321240951,0.00357324,0.747815124,1.5e-07,"16h","all_up","0",0.747815124,0.747815124,0.747815124,"16h_all_up"
"LOC283335",3,-0.010379379,0.948196217,-0.685877383,3.69e-06,0.001308498,0.982899705,0.511041241,0.001490263,"8h","all_down","0",-0.685877383,0.685877383,-0.685877383,"8h_all_down"
"LOC283454",5,-0.145266954,0.257237876,0.158216075,0.099615758,0.146838432,0.127447475,1.335349655,6.94e-11,"16h","all_up","0",1.335349655,1.335349655,1.335349655,"16h_all_up"
"LOC283553",5,0.038379042,0.458329551,0.230848665,0.002584441,0.168163167,0.057437564,1.201323539,3.97e-10,"16h","all_up","0",1.201323539,1.201323539,1.201323539,"16h_all_up"
"LOC283663",5,0.008651615,0.936059576,0.334013148,0.00541059,0.196941135,0.021397396,0.64622,1.56e-05,"16h","all_up","0",0.64622,0.64622,0.64622,"16h_all_up"
"LOC283674",5,0.034754138,0.390573197,0.012359443,0.612951826,0.068086846,0.050404444,1.284325921,2.03e-13,"16h","all_up","0",1.284325921,1.284325921,1.284325921,"16h_all_up"
"LOC283693",5,-0.049764526,0.405149669,0.185954159,0.047203471,0.323928981,0.012606213,0.673865447,1.75e-06,"16h","all_up","0",0.673865447,0.673865447,0.673865447,"16h_all_up"
"LOC285147",5,-0.031584174,0.778736042,0.272797951,0.007166817,0.134033849,0.199945391,0.842078543,1.19e-06,"16h","all_up","0",0.842078543,0.842078543,0.842078543,"16h_all_up"
"LOC286059",5,-0.016102755,0.74584713,0.031352576,0.511961987,-0.068866098,0.121771735,0.672276305,3.34e-07,"16h","all_up","0",0.672276305,0.672276305,0.672276305,"16h_all_up"
"LOC286071",5,-0.024298673,0.843836814,0.104127152,0.332689372,-0.007769905,0.939768087,0.989341726,3.11e-07,"16h","all_up","0",0.989341726,0.989341726,0.989341726,"16h_all_up"
"LOC339524",5,-0.020317133,0.82126575,0.142449912,0.082380532,0.037721917,0.621698309,1.044022883,1.63e-08,"16h","all_up","0",1.044022883,1.044022883,1.044022883,"16h_all_up"
"LOC345051",5,0.026172569,0.410968968,0.052478296,0.29025093,0.151603835,0.000627573,0.936850279,4.76e-12,"16h","all_up","0",0.936850279,0.936850279,0.936850279,"16h_all_up"
"LOC386758",2,-0.115103335,0.339132768,0.295450375,0.054742864,0.022514593,0.868088796,0.680066848,1.76e-07,"16h","all_up","0",0.680066848,0.680066848,0.680066848,"16h_all_up"
"LOC399815",5,0.025581953,0.700520053,0.026636273,0.710459014,0.086243465,0.223157196,0.62250119,1.12e-06,"16h","all_up","0",0.62250119,0.62250119,0.62250119,"16h_all_up"
"LOC441268",4,0.084135376,0.336412059,0.187247558,0.054225196,0.127243832,0.157513334,-0.629661029,1.07e-05,"16h","all_down","0",-0.629661029,0.629661029,-0.629661029,"16h_all_down"
"LOC643201",5,0.018524231,0.62984255,0.253334404,0.001796263,0.142648336,0.008537339,1.164641728,1.34e-11,"16h","all_up","0",1.164641728,1.164641728,1.164641728,"16h_all_up"
"LOC645249",2,-0.181386773,0.222632008,0.370850149,0.010930521,0.124418451,0.278653814,0.623664871,0.000182008,"16h","all_up","0",0.623664871,0.623664871,0.623664871,"16h_all_up"
"LOC728437",5,0.054368614,0.179487457,-0.002619597,0.952274232,0.147300643,0.001194348,0.970301834,4.34e-10,"16h","all_up","0",0.970301834,0.970301834,0.970301834,"16h_all_up"
"LOC728537",5,-0.190042948,0.219332587,0.376952105,0.007389649,0.104792626,0.426758085,0.741006395,3.59e-06,"16h","all_up","0",0.741006395,0.741006395,0.741006395,"16h_all_up"
"LOC729867",5,-0.025448785,0.765578034,0.230721964,0.015059531,0.046789044,0.537276475,0.625336459,2.14e-07,"16h","all_up","0",0.625336459,0.625336459,0.625336459,"16h_all_up"
"LOC730101",4,0.02867757,0.787886349,-0.285929603,0.014192624,-0.187896069,0.09041129,-1.04223401,4.54e-07,"16h","all_down","0",-1.04223401,1.04223401,-1.04223401,"16h_all_down"
"LOC79015",5,0.024067796,0.493207764,0.05909493,0.333271064,0.217033263,0.002510959,1.204444773,3.81e-09,"16h","all_up","0",1.204444773,1.204444773,1.204444773,"16h_all_up"
"LOC91948",3,-0.353478564,0.094410472,-0.645167308,0.000196234,0.033522382,0.768359776,-0.029189843,0.840505481,"8h","all_down","0",-0.645167308,0.645167308,-0.645167308,"8h_all_down"
"LPIN1",2,0.034706552,0.671851147,0.052969008,0.589385813,-0.02090486,0.844077955,0.586258735,4.89e-06,"16h","all_up","0",0.586258735,0.586258735,0.586258735,"16h_all_up"
"LPL",1,-0.062708562,0.299621192,0.1217257,0.238970071,-0.061904794,0.553172941,-0.614632008,3.57e-07,"16h","all_down","HDF",-0.614632008,0.614632008,-0.614632008,"16h_all_down"
"LRRC3",4,-0.003362001,0.972776109,0.05970698,0.63877583,-0.066268693,0.550012813,-0.768573765,8.63e-06,"16h","all_down","0",-0.768573765,0.768573765,-0.768573765,"16h_all_down"
"LRRC66",5,0.035344226,0.754526431,0.307609216,0.000798436,0.186365031,0.099959893,1.293761405,4.47e-09,"16h","all_up","0",1.293761405,1.293761405,1.293761405,"16h_all_up"
"LYPD6",1,-0.084122814,0.4246227,0.195447566,0.123030818,-0.015180238,0.897569968,-0.666753806,1.01e-06,"16h","all_down","0",-0.666753806,0.666753806,-0.666753806,"16h_all_down"
"LZTS1",4,-0.114409184,0.205136297,0.075739157,0.390615621,-0.311173374,0.00414136,-0.720422754,1.12e-07,"16h","all_down","0",-0.720422754,0.720422754,-0.720422754,"16h_all_down"
"MAFG",5,-0.19699524,0.032088775,-0.156751028,0.105328549,0.20004119,0.053074184,0.767398878,1.3e-07,"16h","all_up","0",0.767398878,0.767398878,0.767398878,"16h_all_up"
"MAMSTR",1,-0.13742067,0.148768144,0.196473765,0.071650816,-0.08436569,0.414476923,-0.621364914,1.16e-05,"16h","all_down","0",-0.621364914,0.621364914,-0.621364914,"16h_all_down"
"MAN1A2",5,0.047193882,0.584353712,0.125661394,0.184648328,0.078609652,0.324079462,0.718069447,2.39e-07,"16h","all_up","0",0.718069447,0.718069447,0.718069447,"16h_all_up"
"MANEAL",4,-0.197534772,0.06445115,-0.212003898,0.091380349,0.036930626,0.789735524,-0.690976264,3.02e-06,"16h","all_down","0",-0.690976264,0.690976264,-0.690976264,"16h_all_down"
"MANF",5,-0.051166662,0.578684611,0.206873986,0.004855859,0.550025602,1.22e-06,1.468411072,5.82e-13,"16h","all_up","0",1.468411072,1.468411072,1.468411072,"16h_all_up"
"MAP2K6",4,-0.005082086,0.95460366,0.074979068,0.368846281,-0.084611715,0.442436058,-0.865756665,3.12e-09,"16h","all_down","0",-0.865756665,0.865756665,-0.865756665,"16h_all_down"
"MAPK7",4,-0.126089675,0.47725162,-0.240599767,0.036458247,-0.106099783,0.474233818,-0.76850703,1.46e-06,"16h","all_down","0",-0.76850703,0.76850703,-0.76850703,"16h_all_down"
"MBD5",5,0.052136709,0.471991911,0.297563948,0.007482388,0.10150408,0.334142942,0.771091758,6.71e-07,"16h","all_up","0",0.771091758,0.771091758,0.771091758,"16h_all_up"
"MBNL2",2,-0.079567856,0.475421379,0.052323825,0.71037091,-0.033488211,0.795605892,0.816966504,6.28e-06,"16h","all_up","0",0.816966504,0.816966504,0.816966504,"16h_all_up"
"MBOAT1",4,-0.073123499,0.586943899,0.304623979,0.012759651,-0.235937699,0.100409298,-0.903689962,1.13e-06,"16h","all_down","0",-0.903689962,0.903689962,-0.903689962,"16h_all_down"
"MC1R",2,-0.236292058,0.125943022,0.302827281,0.04627978,0.235675436,0.064371952,0.700560042,4.69e-06,"16h","all_up","0",0.700560042,0.700560042,0.700560042,"16h_all_up"
"MCM5",4,-0.110220306,0.578470883,-0.24842003,0.086563687,-0.064794254,0.634606706,-1.028406746,2.38e-08,"16h","all_down","HDF",-1.028406746,1.028406746,-1.028406746,"16h_all_down"
"MCM6",4,0.072093184,0.435160286,0.194150348,0.102322816,-0.16273794,0.24734355,-0.977008078,4.01e-05,"16h","all_down","0",-0.977008078,0.977008078,-0.977008078,"16h_all_down"
"MESP2",1,-0.165328494,0.211805266,0.27543602,0.011991947,-0.235781165,0.048927989,-0.61917359,4.67e-07,"16h","all_down","0",-0.61917359,0.61917359,-0.61917359,"16h_all_down"
"METAP1",4,0.097229426,0.339733877,-0.161213526,0.077257919,-0.25266894,0.003966439,-0.753513848,4.48e-05,"16h","all_down","0",-0.753513848,0.753513848,-0.753513848,"16h_all_down"
"METAP1D",5,0.005695039,0.957685955,0.272518727,0.00601717,0.15812595,0.097838592,1.12622332,1.08e-09,"16h","all_up","0",1.12622332,1.12622332,1.12622332,"16h_all_up"
"METTL19",5,0.10626776,0.164737095,0.096198795,0.206729828,0.146685227,0.111745294,0.851002633,2.1e-07,"16h","all_up","0",0.851002633,0.851002633,0.851002633,"16h_all_up"
"MGC12982",5,-0.007739931,0.945953395,-0.008288563,0.911663364,0.059643404,0.53282333,0.729296885,1.15e-06,"16h","all_up","0",0.729296885,0.729296885,0.729296885,"16h_all_up"
"MGC23284",5,-0.098525842,0.406709779,0.327412797,0.002919574,0.150124699,0.120625138,0.861869684,3.32e-08,"16h","all_up","0",0.861869684,0.861869684,0.861869684,"16h_all_up"
"MIA",5,-0.006511538,0.838923403,0.001742788,0.956901611,0.114898733,0.001691939,0.603606474,1.07e-08,"16h","all_up","0",0.603606474,0.603606474,0.603606474,"16h_all_up"
"MLNR",5,-0.019626641,0.438200365,0.021747357,0.556726915,0.358883979,5.52e-06,1.139938732,0.001923629,"16h","all_up","0",1.139938732,1.139938732,1.139938732,"16h_all_up"
"MOAP1",2,0.192204434,0.118213855,0.225036304,0.029137197,0.470701687,0.001038188,0.648329568,0.001115682,"16h","all_up","HRF",0.648329568,0.648329568,0.648329568,"16h_all_up"
"MSI2",5,-0.074260484,0.460789417,0.148608363,0.168695234,-0.058204134,0.658263769,0.81880419,3.53e-07,"16h","all_up","HDF",0.81880419,0.81880419,0.81880419,"16h_all_up"
"MXD1",5,-0.008086664,0.941298147,0.221915869,0.037451437,0.017153464,0.867594579,0.742971906,2.67e-05,"16h","all_up","0",0.742971906,0.742971906,0.742971906,"16h_all_up"
"MXD4",4,-0.220181944,0.022724468,-0.264318854,0.016957956,-0.54829048,0.000102209,-1.082223583,6.25e-09,"16h","all_down","0",-1.082223583,1.082223583,-1.082223583,"16h_all_down"
"MYB",1,-0.146057148,0.310428774,0.236475154,0.033729826,-0.17981295,0.119170074,-0.913101019,1.79e-06,"16h","all_down","0",-0.913101019,0.913101019,-0.913101019,"16h_all_down"
"MYEF2",6,0.208761039,0.081090194,0.024483719,0.775854848,0.151867355,0.093364033,0.636678475,0.001042552,"16h","all_up","HDF",0.636678475,0.636678475,0.636678475,"16h_all_up"
"MYH3",2,0.010276876,0.954390651,0.873058975,0.000145258,0.308894415,0.120476525,0.989668353,2.51e-08,"8h,16h","all_up","0",0.931363664,0.989668353,0.989668353,"8h,16h_all_up"
"MYLK2",5,-0.022031,0.718201064,0.170766643,0.034903944,0.146416762,0.033561459,0.864873075,2.92e-09,"16h","all_up","0",0.864873075,0.864873075,0.864873075,"16h_all_up"
"NACC2",5,-0.143601074,0.35409153,0.317049359,0.010827556,0.071816635,0.536411966,0.956445788,8.2e-07,"16h","all_up","0",0.956445788,0.956445788,0.956445788,"16h_all_up"
"NAP1L2",4,0.018289342,0.829063088,-0.015707603,0.829644256,-0.34759724,0.003435748,-0.763258094,1.26e-07,"16h","all_down","0",-0.763258094,0.763258094,-0.763258094,"16h_all_down"
"NAP1L3",4,0.02633412,0.767587104,-0.125572562,0.123624277,-0.322212875,0.001404514,-1.161381188,6.4e-09,"16h","all_down","0",-1.161381188,1.161381188,-1.161381188,"16h_all_down"
"NEB",5,0.042587902,0.382273114,0.256189937,0.01719032,0.063506769,0.308279071,0.788059952,1.3e-08,"16h","all_up","HDF",0.788059952,0.788059952,0.788059952,"16h_all_up"
"NFKBIZ",6,0.187014009,0.109516092,-0.004857696,0.96186262,0.086676388,0.519695289,0.676427529,5.13e-07,"16h","all_up","0",0.676427529,0.676427529,0.676427529,"16h_all_up"
"NOL6",3,-0.292053012,0.093025029,-0.607746932,0.00020391,-0.008619727,0.940243762,0.018905711,0.871276183,"8h","all_down","0",-0.607746932,0.607746932,-0.607746932,"8h_all_down"
"NPAT",4,0.067704109,0.413521016,0.037442686,0.706954046,-0.160732105,0.091996715,-0.750807311,2.01e-07,"16h","all_down","0",-0.750807311,0.750807311,-0.750807311,"16h_all_down"
"NPEPL1",2,-0.024277684,0.859399826,0.515751484,0.000482258,0.313516229,0.0087778,0.832853235,6.83e-06,"16h","all_up","HRF",0.832853235,0.832853235,0.832853235,"16h_all_up"
"NPFF",5,-0.03909726,0.729084079,0.344919725,0.001512757,0.261993572,0.012064802,0.783510914,8.41e-08,"16h","all_up","0",0.783510914,0.783510914,0.783510914,"16h_all_up"
"NPPC",5,0.071552057,0.306403365,0.026430515,0.699682327,0.283663217,0.003649623,0.685326571,6.94e-07,"16h","all_up","0",0.685326571,0.685326571,0.685326571,"16h_all_up"
"NR4A1",2,-0.290870304,0.071129943,-0.042182335,0.7417762,0.123838027,0.367542947,0.785188582,6.22e-05,"16h","all_up","0",0.785188582,0.785188582,0.785188582,"16h_all_up"
"NR6A1",2,-0.03215264,0.730650594,-0.016072958,0.852013714,0.024473386,0.788089266,0.596550954,3.81e-05,"16h","all_up","0",0.596550954,0.596550954,0.596550954,"16h_all_up"
"NXF2",5,-0.00167783,0.955475425,0.044125104,0.126473975,0.002492519,0.942787412,0.674078538,2.69e-09,"16h","all_up","0",0.674078538,0.674078538,0.674078538,"16h_all_up"
"OGDHL",1,-0.086879216,0.538864652,0.403576736,0.00194403,-0.057984336,0.616570247,-0.782532606,2.2e-07,"16h","all_down","0",-0.782532606,0.782532606,-0.782532606,"16h_all_down"
"OK/SW-CL.58",5,-0.042189559,0.269500606,0.169045876,0.014030921,1.037012479,4.5e-07,2.380750189,5.99e-15,"12h,16h","all_up","0",1.708881334,2.380750189,2.380750189,"12h,16h_all_up"
"OLIG1",4,-0.095071326,0.515802354,0.166876097,0.121302655,-0.152044306,0.10998799,-0.710744164,7.61e-06,"16h","all_down","0",-0.710744164,0.710744164,-0.710744164,"16h_all_down"
"OR52B2",5,0.003589702,0.930476609,0.882709909,0.000139092,2.882903655,2.55e-08,3.260023037,1.08e-05,"8h,12h,16h","all_up","0",2.341878867,3.260023037,3.260023037,"8h,12h,16h_all_up"
"OR8H1",2,-0.120149387,0.514311478,-0.249167118,0.087834424,0.110343398,0.49282093,1.527587797,2.78e-08,"16h","all_up","0",1.527587797,1.527587797,1.527587797,"16h_all_up"
"OSBPL7",1,-0.177325876,0.265844526,0.383296697,0.009981437,0.044215573,0.699943018,-0.769121832,1.5e-05,"16h","all_down","HDF",-0.769121832,0.769121832,-0.769121832,"16h_all_down"
