"Genes","cluster","logFC_4","P.Value_4","logFC_8","P.Value_8","logFC_12","P.Value_12","logFC_16","P.Value_16","significant_timepoints","direction_type","Host factor type","logFC_mean_sig","logFC_abs_max_sig","logFC_max_with_sign_sig","pattern"
"CHRNA10",5,0.013296206,0.863639271,0.256296126,0.005257826,0.371575417,0.000116833,1.064394063,9.86e-11,"16h","all_up","0",1.064394063,1.064394063,1.064394063,"16h_all_up"
"CLEC18B",5,-0.004264554,0.93820881,0.238509801,0.002219854,0.1975317,0.009287411,0.837682475,4.35e-11,"16h","all_up","0",0.837682475,0.837682475,0.837682475,"16h_all_up"
"CLEC3B",5,-0.05007126,0.642908747,0.426074241,0.00143684,0.336564657,0.013084207,1.511498814,1.59e-12,"16h","all_up","0",1.511498814,1.511498814,1.511498814,"16h_all_up"
"CNP",1,-0.074985518,0.439452316,0.173345812,0.115814661,-0.197636554,0.021945972,-0.715212318,2.49e-07,"16h","all_down","HRF",-0.715212318,0.715212318,-0.715212318,"16h_all_down"
"CNTF",5,0.066718895,0.35517506,0.172417516,0.003585461,0.111722101,0.095007526,0.839540893,4.72e-09,"16h","all_up","0",0.839540893,0.839540893,0.839540893,"16h_all_up"
"COL23A1",5,0.112036908,0.12791813,0.35104871,0.000720873,0.360711834,0.000839991,1.796161632,4.36e-13,"16h","all_up","0",1.796161632,1.796161632,1.796161632,"16h_all_up"
"COL27A1",2,-0.130747803,0.485226901,0.517956045,0.003067795,0.353057282,0.02774299,0.585489088,5.61e-06,"16h","all_up","0",0.585489088,0.585489088,0.585489088,"16h_all_up"
"CPNE7",2,-0.046799692,0.658954904,0.345597892,0.003700603,0.290226738,0.020922827,0.59975539,1.13e-05,"16h","all_up","0",0.59975539,0.59975539,0.59975539,"16h_all_up"
"CPOX",4,-0.040317546,0.674188067,-0.07756218,0.532509561,-0.273180582,0.012840862,-0.638858318,4.18e-05,"16h","all_down","0",-0.638858318,0.638858318,-0.638858318,"16h_all_down"
"CRABP2",2,-0.106556942,0.304114884,0.070912302,0.338028699,0.436129216,0.000120918,0.643649131,6.49e-05,"16h","all_up","0",0.643649131,0.643649131,0.643649131,"16h_all_up"
"CREB3L1",3,-0.34955771,0.032802914,-0.670658736,5.71e-05,-0.220047662,0.098974684,0.002701799,0.984402512,"8h","all_down","0",-0.670658736,0.670658736,-0.670658736,"8h_all_down"
"CREB3L2",6,-0.057127156,0.547333848,-0.183417626,0.39958085,0.336228038,0.096037687,0.890151142,1.11e-07,"16h","all_up","0",0.890151142,0.890151142,0.890151142,"16h_all_up"
"CREB5",5,-0.008396842,0.906610005,-0.025179861,0.719008101,0.150056891,0.053300238,1.524386055,3.4e-12,"16h","all_up","0",1.524386055,1.524386055,1.524386055,"16h_all_up"
"CRELD1",2,-0.103838825,0.226258943,0.191018132,0.118796054,0.544514019,0.000164476,1.164875355,2.44e-09,"16h","all_up","0",1.164875355,1.164875355,1.164875355,"16h_all_up"
"CRELD2",2,0.02218312,0.810161862,0.104135242,0.237118131,0.380614754,0.0003141,0.584972396,1.24e-05,"16h","all_up","0",0.584972396,0.584972396,0.584972396,"16h_all_up"
"CREM",2,-0.083164387,0.527118385,0.220008536,0.066947122,0.085248567,0.498967412,0.662778126,1.57e-05,"16h","all_up","0",0.662778126,0.662778126,0.662778126,"16h_all_up"
"CSAG1",5,-0.041489606,0.564140724,0.10648238,0.312685247,0.130921027,0.182079661,1.032816579,1.33e-10,"16h","all_up","0",1.032816579,1.032816579,1.032816579,"16h_all_up"
"CSTF3",5,-0.025383486,0.809071726,0.095470346,0.323201871,0.042149418,0.668334946,0.777096216,1.99e-06,"16h","all_up","0",0.777096216,0.777096216,0.777096216,"16h_all_up"
"CT45A1",5,-0.05386394,0.096807562,0.040137874,0.320637586,0.277288482,3e-06,0.613845618,7.22e-08,"16h","all_up","0",0.613845618,0.613845618,0.613845618,"16h_all_up"
"CTH",5,0.033637138,0.704465112,0.094572362,0.288729528,-0.062360054,0.503699215,1.15904342,2.71e-09,"16h","all_up","0",1.15904342,1.15904342,1.15904342,"16h_all_up"
"CTSK",5,-0.056651261,0.72063464,0.540380217,0.000681619,0.294336817,0.058795519,1.464496181,7.95e-11,"16h","all_up","0",1.464496181,1.464496181,1.464496181,"16h_all_up"
"CX3CR1",5,-0.097549177,0.21106105,0.159656595,0.002404028,0.121219131,0.005317768,0.809562829,1.54e-08,"16h","all_up","0",0.809562829,0.809562829,0.809562829,"16h_all_up"
"CXorf51A",5,-0.024182651,0.38886553,-0.007894195,0.835330441,0.027054821,0.420610572,0.595344129,3.13e-09,"16h","all_up","0",0.595344129,0.595344129,0.595344129,"16h_all_up"
"CYP17A1",3,-0.210635659,0.243862429,-0.749512839,0.000436483,-0.186186054,0.205513612,-0.238313206,0.070891014,"8h","all_down","HDF",-0.749512839,0.749512839,-0.749512839,"8h_all_down"
"CYP27A1",5,-0.164534872,0.111638703,0.314187852,0.00396123,0.121593118,0.275701918,0.914170699,2.38e-08,"16h","all_up","0",0.914170699,0.914170699,0.914170699,"16h_all_up"
"DCLRE1B",4,-0.04983906,0.58683693,-0.08304657,0.451186735,-0.103256813,0.219248406,-0.71532137,4.89e-05,"16h","all_down","HDF",-0.71532137,0.71532137,-0.71532137,"16h_all_down"
"DDIT3",5,-0.021467627,0.686289458,0.209311301,0.041085011,0.500952178,0.00106129,1.256052128,1.62e-10,"16h","all_up","HDF",1.256052128,1.256052128,1.256052128,"16h_all_up"
"DEFA7P",5,-0.040517197,0.365796961,0.158056028,0.052600038,0.468409292,0.000447567,0.821373205,1.1e-09,"16h","all_up","0",0.821373205,0.821373205,0.821373205,"16h_all_up"
"DEFB108B",5,-0.090290376,0.213687029,-0.242234122,0.003274616,0.047406221,0.55515325,0.794501545,1.23e-07,"16h","all_up","0",0.794501545,0.794501545,0.794501545,"16h_all_up"
"DEPDC1",6,0.075377288,0.483719224,-0.107788488,0.228421379,0.169095022,0.075326134,0.65985657,2.33e-06,"16h","all_up","0",0.65985657,0.65985657,0.65985657,"16h_all_up"
"DHRS2",5,0.102520583,0.362566358,0.915057786,8.16e-06,1.989756802,2.62e-08,4.346138649,4.93e-14,"8h,12h,16h","all_up","HDF",2.416984412,4.346138649,4.346138649,"8h,12h,16h_all_up"
"DIS3L2",5,0.004734118,0.974616738,0.375987577,0.00781813,0.30302291,0.033355469,0.8130236,2.2e-06,"16h","all_up","0",0.8130236,0.8130236,0.8130236,"16h_all_up"
"DKFZp451A211",5,-0.023123968,0.607395747,0.113984742,0.108248235,0.131225203,0.050056145,0.781514574,9.66e-09,"16h","all_up","0",0.781514574,0.781514574,0.781514574,"16h_all_up"
"DLEC1",5,0.001586751,0.958473755,0.100094375,0.029219492,0.056244235,0.159213455,0.777066419,6.26e-09,"16h","all_up","0",0.777066419,0.777066419,0.777066419,"16h_all_up"
"DMRTC1",5,0.028587332,0.38320506,0.03133767,0.476472974,0.084196682,0.06376928,0.580002013,8.2e-10,"16h","all_up","0",0.580002013,0.580002013,0.580002013,"16h_all_up"
"DNAJB11",5,0.138272484,0.165699624,0.239602554,0.029868728,0.359933288,0.015513722,1.08183748,2.14e-07,"16h","all_up","HDF",1.08183748,1.08183748,1.08183748,"16h_all_up"
"DNAJB4",5,0.012347698,0.899729162,0.019019152,0.809393522,0.091831429,0.337024642,0.847102745,1.83e-08,"16h","all_up","0",0.847102745,0.847102745,0.847102745,"16h_all_up"
"DNAJB9",5,0.099912464,0.286660017,0.125773869,0.160528278,0.596982571,1.19e-05,0.98113248,2.33e-08,"12h,16h","all_up","0",0.789057526,0.98113248,0.98113248,"12h,16h_all_up"
"DNAJC3",5,0.091288935,0.278090605,0.112968796,0.179827468,0.243818855,0.003799323,1.320909544,1.45e-09,"16h","all_up","0",1.320909544,1.320909544,1.320909544,"16h_all_up"
"DNALI1",5,-0.021763767,0.491698471,0.03261714,0.373291137,0.027435334,0.513209571,0.759595223,3.25e-09,"16h","all_up","0",0.759595223,0.759595223,0.759595223,"16h_all_up"
"DSCC1",4,0.086260688,0.335343315,0.062548634,0.464260798,-0.160224808,0.139485409,-0.953809,1.85e-07,"16h","all_down","0",-0.953809,0.953809,-0.953809,"16h_all_down"
"DSCR10",3,-0.268441545,0.056899658,-0.619803032,0.000357205,-0.153510558,0.22711928,0.005731948,0.960774895,"8h","all_down","0",-0.619803032,0.619803032,-0.619803032,"8h_all_down"
"DTL",4,0.107070684,0.239020762,-0.203206394,0.054587063,-0.376755992,0.003328611,-1.480901233,6.87e-12,"16h","all_down","0",-1.480901233,1.480901233,-1.480901233,"16h_all_down"
"DUSP1",5,-0.091986552,0.263231388,-0.253658492,0.054683932,0.325606096,0.021370304,1.328176064,1.7e-09,"16h","all_up","0",1.328176064,1.328176064,1.328176064,"16h_all_up"
"DUSP16",5,-0.007704594,0.892140066,-0.078406573,0.401831304,0.117638886,0.224693092,1.095111608,1.17e-09,"16h","all_up","HDF",1.095111608,1.095111608,1.095111608,"16h_all_up"
"DUXA",5,0.025895998,0.582154215,-0.065742112,0.241916696,0.177984283,0.00033002,0.840009667,1.41e-09,"16h","all_up","0",0.840009667,0.840009667,0.840009667,"16h_all_up"
"E2F1",4,-0.145900378,0.194677506,0.180389224,0.080927227,-0.213931814,0.02190741,-0.643475276,1.7e-05,"16h","all_down","HRF",-0.643475276,0.643475276,-0.643475276,"16h_all_down"
"E2F2",1,-0.186564084,0.185447473,0.253257744,0.063258916,-0.29150372,0.015172015,-0.952411996,8.49e-06,"16h","all_down","0",-0.952411996,0.952411996,-0.952411996,"16h_all_down"
"E2F7",4,0.09630946,0.484229615,-0.225459783,0.127651003,-0.214414653,0.173797934,-1.210301552,3.46e-08,"16h","all_down","HDF",-1.210301552,1.210301552,-1.210301552,"16h_all_down"
"EEFSEC",4,-0.183221398,0.272622066,-0.540423717,0.002192196,-0.578358327,0.003361685,-0.780529064,3.03e-08,"16h","all_down","0",-0.780529064,0.780529064,-0.780529064,"16h_all_down"
"EGR2",2,-0.010132126,0.898298302,0.074792901,0.425288967,0.257814878,0.0197546,0.892610941,2.83e-07,"16h","all_up","0",0.892610941,0.892610941,0.892610941,"16h_all_up"
"ELOVL7",4,0.020011199,0.847392178,0.224918701,0.149451594,-0.276442053,0.078848217,-0.609921407,1.4e-06,"16h","all_down","0",-0.609921407,0.609921407,-0.609921407,"16h_all_down"
"ENDOD1",4,0.136572285,0.122200795,-0.020902563,0.807048651,-0.051457968,0.536163243,-0.682015551,7.13e-06,"16h","all_down","0",-0.682015551,0.682015551,-0.682015551,"16h_all_down"
"ENO3",2,-0.020398723,0.885252001,0.589848598,0.000159964,0.227428421,0.080035589,0.435148739,4.45e-05,"8h","all_up","0",0.589848598,0.589848598,0.589848598,"8h_all_up"
"EPB41L4B",4,0.102953048,0.328677445,-0.23539015,0.160928635,-0.142449757,0.424961417,-0.930394083,6.29e-06,"16h","all_down","0",-0.930394083,0.930394083,-0.930394083,"16h_all_down"
"ERBB4",2,0.109740206,0.300789735,0.265990397,0.018599308,0.107500162,0.316735913,0.739283208,3.15e-06,"16h","all_up","0",0.739283208,0.739283208,0.739283208,"16h_all_up"
"ERO1LB",6,0.115130086,0.219875883,-0.17360246,0.354735983,0.442566603,0.019386777,0.864384655,3.64e-08,"16h","all_up","0",0.864384655,0.864384655,0.864384655,"16h_all_up"
"EXO1",4,0.07876115,0.322036926,0.00636332,0.929387753,-0.148282028,0.066831014,-0.918059774,6.03e-07,"16h","all_down","0",-0.918059774,0.918059774,-0.918059774,"16h_all_down"
"EXPH5",2,-0.075248815,0.491650519,0.02710032,0.844897617,0.212984934,0.13457941,0.601827044,3.65e-06,"16h","all_up","0",0.601827044,0.601827044,0.601827044,"16h_all_up"
"EYA1",6,-0.086463619,0.416505815,-0.355440274,0.022601968,0.05208466,0.746140282,0.71177394,8.9e-07,"16h","all_up","0",0.71177394,0.71177394,0.71177394,"16h_all_up"
