gene_symbol
AANAT
ABCC2
ABCE1
ABI2
ABL1
ACACB
ACAD10
ACAP3
ACBD7
ACCN4
ACE
ACRC
ACSBG1
ACSL3
ACTA1
ACTG1
ACTL9
ACVR1
ADAMTSL5
ADAT2
ADH4
ADIPOR1
ADM2
AHCTF1
ALDH3B1
ALDH9A1
ALDOA
ALG1L2
ALKBH5
ALPK3
ALPPL2
AMOT
AMOTL2
AMY1C
ANKRD19P
ANKRD20A9P
ANKRD26P1
ANXA8L2
AOC3
AP2B1
AP3D1
APEX2
APLP2
APOLD1
AQP1
AQP5
ARAF2P
ARF3
ARHGAP33
ARHGAP4
ARHGAP5
ARID5A
ARL9
ARMC6
ASB15
ASNS
ASPRV1
ASTE1
ASXL1
ATF3
ATG16L2
ATP6V0E2
ATP8B5P
ATXN7L3B
AXL
AZGP1
AZI1
B3GNT7
B4GALNT1
BAIAP2L2
BANP
BARD1
BBC3
BCL11A
BCL6
BCL6B
BDKRB2
BEST1
BFSP1
BIK
BMP2K
BMPER
BNIPL
BOD1P
BOP1
BPIFB2
BRCA1
BREA2
BRWD1-IT2
C10orf10
C10orf120
C10orf35
C10orf95
C12orf28
C12orf47
C14orf182
C15orf52
C16orf52
C17orf52
C17orf65
C17orf70
C17orf87
C19orf10
C19orf59
C19orf68
C1orf174
C1orf190
C1orf216
C1orf54
C1orf56
C1S
C2
C20orf132
C21orf58
C22orf43
C2orf48
C2orf49
C3orf32
C4orf46
C4orf47
C5AR1
C5orf27
C5orf41
C5orf58
C5orf62
C6orf1
C6orf136
C6orf27
C7orf25
C7orf53
C8G
C8orf4
C8orf44-SGK3
C8orf55
C8orf58
C9orf173
C9orf82
CA2
CACNB4
CALY
CAND1
CANX
CARD8
CARHSP1
CASP2
CASP3
CASP7
CATSPER2
CBLN2
CBX7
CCDC107
CCDC57
CCDC78
CCDC85C
CCL24
CCNE1
CCNE2
CCNY
CCR5
CD4
CD70
CD72
CD79A
CD81
CD83
CDC14C
CDC25A
CDC42EP1
CDH15
CDH22
CDK10
CDK2AP2
CDKL3
CDKN2D
CDT1
CDX1
CEACAM20
CEACAM22P
CEBPB
CECR2
CENPA
CENPK
CERS3
CHAC1
CHAF1B
CHDH
CHGA
CHM
CHML
CHRNA10
CHST6
CHTF8
CHURC1
CIC
CLDN19
CLEC14A
CLEC18B
CLEC3B
CLSTN1
CNOT6L
CNP
CNTF
COL11A2
COL23A1
COL27A1
COL4A3BP
COX6B2
CPEB1
CPNE3
CPNE7
CPOX
CRABP1
CRABP2
CREB3L1
CREB3L2
CREB5
CRELD1
CRELD2
CREM
CSAG1
CSTF3
CT45A1
CT47A11
CTAG1A
CTBP1
CTH
CTRB2
CTRL
CTSK
CUL9
CX3CR1
CXorf51A
CXorf69
CYCSP52
CYGB
CYP17A1
CYP20A1
CYP27A1
CYP2B6
CYP4F30P
D2HGDH
DAG1
DCAF7
DCK
DCLRE1B
DCLRE1C
DDIT3
DEFA7P
DEFB108B
DEPDC1
DGAT1
DHFRL1
DHRS2
DIS3L2
DKFZp451A211
DKFZP547L112
DKFZp686A05212
DKFZp686M1136
DLEC1
DLX2
DLX5
DMRTC1
DNAJB11
DNAJB4
DNAJB9
DNAJC3
DNALI1
DNM1
DOCK3
DONSON
DPEP3
DRGX
DRP2
DSCC1
DSCR10
DTL
DTNA
DUSP1
DUSP16
DUSP22
DUSP8
DUX4
DUXA
DVL2
E2F1
E2F2
E2F7
E2F8
EBLN2
EEFSEC
EGR1
EGR2
EIF2C3
EIF2S1
ELFN1
ELOVL7
EMILIN2
ENDOD1
ENO3
EP300
EPB41L4B
EPHX3
EPS8L3
ERBB4
ERN2
ERO1LB
ERP29
EXO1
EXPH5
EYA1
F2R
FAM100B
FAM118A
FAM127C
FAM149B1
FAM154A
FAM160A2
FAM177B
FAM178B
FAM183A
FAM183B
FAM198A
FAM43B
FAM46A
FAM53C
FAM70A
FAM71F1
FAM7A1
FAM90A1
FAM90A7
FANCA
FBXL19-AS1
FBXW10
FCER1G
FEM1B
FEN1
FFAR2
FHDC1
FJX1
FKBP2
FLJ22184
FLJ23867
FLJ32063
FLJ39051
FLJ40606
FLJ43315
FLJ44342
FLJ45872
FLVCR1-AS1
FN3KRP
FOS
FOXO3
FOXP4
FRMD3
FRMPD3
FRZB
FTMT
FUT1
GALNT2
GAS1
GAS2L3
GAS7
GBP6
GCK
GCNT1
GGT1
GGT3P
GGT5
GINS2
GJB2
GLI4
GLIS2
GNRH1
GOLGA6L6
GOLGA6L9
GPR137B
GPR150
GPR171
GPR22
GPR25
GPR75
GPR78
GPRASP2
GPRIN1
GRASP
GSDMB
GTPBP3
GUCA1B
GYPA
H19
H1FX
HARS2
HCLS1
HCN2
HCN3
HDAC6
HDGF
HERPUD1
HES7
HEYL
HGD
HHIP
HIATL1
HIF3A
HIST1H1C
HIST1H1D
HIST1H2AC
HIST1H2BF
HIST1H4E
HIST1H4J
HLTF
HMMR
HMP19
HMX1
HNRNPH2
HOXA10
HOXB1
HOXB2
HOXD3
HRASLS5
HRK
HSDL1
HSP90AB6P
HSP90B1
HSP90B3P
HSPA13
HSPA1L
HSPA5
HSPB3
HTR7P1
HYLS1
HYOU1
ID1
IDH1
IDI2-AS1
IDUA
IER5
IFI27
IFIT1
IFRD1
IGFBP5
IGFLR1
IL13
IL17RB
IL17RE
IL18
IL20RB
IL23A
INHBC
INO80D
IQCC
IQSEC2
IRG1
ISG15
ISG20
ITCH
ITGA10
ITGAM
ITGB1BP2
ITIH4
ITPK1-AS1
JMJD5
JUND
KATNB1
KCND3
KCNH3
KCNJ12
KCNJ14
KCNQ1OT1
KCTD12
KDELR1
KDM6B
KHK
KIAA0101
KIAA0226L
KIAA1324
KIAA1683
KIAA1731
KIAA1875
KIF21B
KIF25
KISS1R
KIT
KLF16
KLF6
KLHL9
KPNA4
KRT7
KRT73
KRT81
KRTAP10-10
KRTAP10-8
KRTAP19-2
KRTAP3-3
KRTAP5-10
KRTAP5-4
L3MBTL3
LAMB2P1
LANCL3
LCE1A
LCE1C
LCE1D
LDHC
LDLR
LEAP2
LEFTY1
LENG8
LENG9
LEPREL4
LGALS9C
LHX3
LINC00087
LINC00246A
LOC100128107
LOC100128348
LOC100128593
LOC100128670
LOC100128714
LOC100128857
LOC100129387
LOC100129463
LOC100129974
LOC100130015
LOC100130232
LOC100130654
LOC100130691
LOC100130876
LOC100131551
LOC100132207
LOC100132966
LOC100133161
LOC100190939
LOC100289580
LOC100506123
LOC100506190
LOC100507205
LOC100652922
LOC100652967
LOC100653060
LOC143188
LOC145694
LOC148709
LOC151657
LOC153546
LOC157562
LOC202025
LOC202181
LOC221442
LOC221814
LOC255480
LOC257358
LOC257396
LOC283174
LOC283335
LOC283392
LOC283454
LOC283516
LOC283553
LOC283663
LOC283674
LOC283693
LOC284260
LOC285147
LOC286059
LOC286071
LOC338620
LOC339524
LOC345051
LOC375190
LOC386758
LOC389033
LOC389834
LOC390705
LOC399815
LOC400128
LOC401188
LOC439951
LOC441268
LOC441666
LOC642980
LOC643201
LOC645249
LOC645261
LOC646513
LOC646999
LOC648740
LOC678655
LOC728054
LOC728437
LOC728537
LOC729770
LOC729867
LOC730101
LOC79015
LOC91948
LPCAT1
LPIN1
LPIN3
LPL
LRRC20
LRRC26
LRRC3
LRRC39
LRRC66
LRRCC1
LRRD1
LSS
LTBP4
LYG2
LYNX1
LYPD6
LYST
LZTS1
MAFG
MAML1
MAMSTR
MAN1A2
MANEAL
MANF
MAP2K6
MAP4
MAPK7
MBD5
MBD6
MBNL2
MBOAT1
MC1R
MCM10
MCM2
MCM4
MCM5
MCM6
MCM9
MCRS1
MDGA1
MED15
MEF2B
MEG3
MESP1
MESP2
METAP1
METAP1D
METTL19
MGC12982
MGC23284
MIA
MICALL2
MIR22HG
MLEC
MLLT11
MLNR
MMAB
MOAP1
MOCS3
MOP-1
MORC2-AS1
MRPL12
MSH6
MSI2
MT3
MTA2
MUC4
MUC6
MXD1
MXD4
MYB
MYCL1
MYEF2
MYH14
MYH3
MYH9
MYLK2
MYO15B
NAA40
NACC2
NAP1L2
NAP1L3
NAT8L
NBEA
NEB
NEFH
NEURL
NFKBIZ
NKAPL
NKX2-3
NKX2-5
NOL6
NPAT
NPB
NPEPL1
NPFF
NPHS2
NPPC
NR4A1
NR6A1
NSD1
NUCKS1
NUP210
NXF2
ODF3L2
OGDHL
OGFR
OGN
OK/SW-CL.58
OLIG1
OMD
OR10H2
OR1L6
OR2H1
OR52B2
OR5L2
OR8H1
ORC1
OSBPL7
OTOF
P2RX4
PACS1
PAOX
PAPD5
PAPL
PAQR6
PARP16
PASK
PCLO
