Cluster,Cluster_label,Gene
2,Cluster_2,NOP56
3,Cluster_3,NOS3
5,Cluster_5,NOV
6,Cluster_6,NPAS1
4,Cluster_4,NPAT
2,Cluster_2,NPEPL1
5,Cluster_5,NPFF
2,Cluster_2,NPHP1
5,Cluster_5,NPPC
2,Cluster_2,NPTX1
2,Cluster_2,NR2E3
2,Cluster_2,NR4A1
2,Cluster_2,NR6A1
3,Cluster_3,NRSN2
6,Cluster_6,NSUN3
4,Cluster_4,NT5DC1
2,Cluster_2,NUCB2
4,Cluster_4,NUDT18
6,Cluster_6,NUDT5
5,Cluster_5,NUDT6
3,Cluster_3,NUDT8
2,Cluster_2,NUP88
6,Cluster_6,NUPL2
5,Cluster_5,NXF2
1,Cluster_1,OGDHL
5,Cluster_5,OK/SW-CL.58
3,Cluster_3,OLFML2A
3,Cluster_3,OLFML2B
4,Cluster_4,OLIG1
3,Cluster_3,OR1D2
3,Cluster_3,OR1J4
3,Cluster_3,OR1S1
5,Cluster_5,OR52B2
3,Cluster_3,OR5V1
3,Cluster_3,OR6W1P
3,Cluster_3,OR7C2
2,Cluster_2,OR8H1
1,Cluster_1,OSBPL5
1,Cluster_1,OSBPL7
6,Cluster_6,OSTC
6,Cluster_6,OSTN
6,Cluster_6,OVGP1
2,Cluster_2,OXGR1
3,Cluster_3,P2RX5
5,Cluster_5,PAGE2B
2,Cluster_2,PAIP2B
2,Cluster_2,PAK1
2,Cluster_2,PAN2
2,Cluster_2,PANK2
1,Cluster_1,PAOX
6,Cluster_6,PAPD4
5,Cluster_5,PAPD5
2,Cluster_2,PAPSS2
2,Cluster_2,PARK7
4,Cluster_4,PARP16
2,Cluster_2,PARP8
4,Cluster_4,PASK
2,Cluster_2,PAX2
2,Cluster_2,PCBP4
4,Cluster_4,PCDH20
3,Cluster_3,PCDHA5
3,Cluster_3,PCGF2
5,Cluster_5,PCLO
2,Cluster_2,PCMTD1
4,Cluster_4,PCNA
1,Cluster_1,PCSK4
6,Cluster_6,PDIA3
5,Cluster_5,PDIA4
5,Cluster_5,PDIA5
6,Cluster_6,PDIA6
2,Cluster_2,PDLIM3
4,Cluster_4,PDS5B
